Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
357045034501999_570393029833864,https://www.facebook.com/weareotv/posts/570395936500240:0,You're So Talented,Photo,,,12/19/2016 11:43:34 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392926500541,https://www.facebook.com/weareotv/posts/570395909833576:0,You're So Talented,Photo,,,12/19/2016 11:43:28 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392636500570,https://www.facebook.com/weareotv/posts/570395929833574:0,You're So Talented,Photo,,,12/19/2016 11:43:21 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392523167248,https://www.facebook.com/weareotv/posts/570396106500223:0,You're So Talented,Photo,,,12/19/2016 11:43:18 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392496500584,https://www.facebook.com/weareotv/posts/570395949833572:0,You're So Talented,Photo,,,12/19/2016 11:43:16 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392479833919,https://www.facebook.com/weareotv/posts/570395926500241:0,You're So Talented,Photo,,,12/19/2016 11:43:15 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392446500589,https://www.facebook.com/weareotv/posts/570395913166909:0,You're So Talented,Photo,,,12/19/2016 11:43:12 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392393167261,https://www.facebook.com/weareotv/posts/570395959833571:0,You're So Talented,Photo,,,12/19/2016 11:43:10 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,YST
357045034501999_570392366500597,https://www.facebook.com/weareotv/posts/570395953166905:0,You're So Talented,Photo,,,12/19/2016 11:43:09 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,YST
357045034501999_570392343167266,https://www.facebook.com/weareotv/posts/570395886500245:0,You're So Talented,Photo,,,12/19/2016 11:43:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392159833951,https://www.facebook.com/weareotv/posts/570396109833556:0,You're So Talented,Photo,,,12/19/2016 11:43:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392066500627,https://www.facebook.com/weareotv/posts/570396113166889:0,You're So Talented,Photo,,,12/19/2016 11:42:59 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570392006500633,https://www.facebook.com/weareotv/posts/570396073166893:0,You're So Talented,Photo,,,12/19/2016 11:42:55 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391956500638,https://www.facebook.com/weareotv/posts/570396119833555:0,You're So Talented,Photo,,,12/19/2016 11:42:53 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391933167307,https://www.facebook.com/weareotv/posts/570395943166906:0,You're So Talented,Photo,,,12/19/2016 11:42:51 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391903167310,https://www.facebook.com/weareotv/posts/570395939833573:0,You're So Talented,Photo,,,12/19/2016 11:42:49 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391649834002,https://www.facebook.com/weareotv/posts/570395969833570:0,You're So Talented,Photo,,,12/19/2016 11:42:41 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391613167339,https://www.facebook.com/weareotv/posts/570396096500224:0,You're So Talented,Photo,,,12/19/2016 11:42:40 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391369834030,https://www.facebook.com/weareotv/posts/570396093166891:0,You're So Talented,Photo,,,12/19/2016 11:42:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391333167367,https://www.facebook.com/weareotv/posts/570396079833559:0,You're So Talented,Photo,,,12/19/2016 11:42:27 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391259834041,https://www.facebook.com/weareotv/posts/570395893166911:0,You're So Talented,Photo,,,12/19/2016 11:42:24 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391099834057,https://www.facebook.com/weareotv/posts/570395923166908:0,You're So Talented,Photo,,,12/19/2016 11:42:17 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391053167395,https://www.facebook.com/weareotv/posts/570396069833560:0,You're So Talented,Photo,,,12/19/2016 11:42:14 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570391006500733,https://www.facebook.com/weareotv/posts/570395906500243:0,You're So Talented,Photo,,,12/19/2016 11:42:11 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390929834074,https://www.facebook.com/weareotv/posts/570396116500222:0,You're So Talented,Photo,,,12/19/2016 11:42:08 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390863167414,https://www.facebook.com/weareotv/posts/570396076500226:0,You're So Talented,Photo,,,12/19/2016 11:42:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390816500752,https://www.facebook.com/weareotv/posts/570395919833575:0,You're So Talented,Photo,,,12/19/2016 11:42:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390796500754,https://www.facebook.com/weareotv/posts/570396066500227:0,You're So Talented,Photo,,,12/19/2016 11:42:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390753167425,https://www.facebook.com/weareotv/posts/570395899833577:0,You're So Talented,Photo,,,12/19/2016 11:41:58 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390729834094,https://www.facebook.com/weareotv/posts/570396089833558:0,You're So Talented,Photo,,,12/19/2016 11:41:57 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390683167432,https://www.facebook.com/weareotv/posts/570395889833578:0,You're So Talented,Photo,,,12/19/2016 11:41:55 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,YST
357045034501999_570390649834102,https://www.facebook.com/weareotv/posts/570395903166910:0,You're So Talented,Photo,,,12/19/2016 11:41:53 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390633167437,https://www.facebook.com/weareotv/posts/570396083166892:0,You're So Talented,Photo,,,12/19/2016 11:41:52 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,YST
357045034501999_570390516500782,https://www.facebook.com/weareotv/posts/570395916500242:0,You're So Talented,Photo,,,12/19/2016 11:41:46 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390479834119,https://www.facebook.com/weareotv/posts/570395896500244:0,You're So Talented,Photo,,,12/19/2016 11:41:44 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390453167455,https://www.facebook.com/weareotv/posts/570396086500225:0,You're So Talented,Photo,,,12/19/2016 11:41:42 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390319834135,https://www.facebook.com/weareotv/posts/570396099833557:0,You're So Talented,Photo,,,12/19/2016 11:41:35 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390279834139,https://www.facebook.com/weareotv/posts/570396063166894:0,You're So Talented,Photo,,,12/19/2016 11:41:34 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390189834148,https://www.facebook.com/weareotv/posts/570396103166890:0,You're So Talented,Photo,,,12/19/2016 11:41:28 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390159834151,https://www.facebook.com/weareotv/posts/570395873166913:0,You're So Talented,Photo,,,12/19/2016 11:41:27 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390146500819,https://www.facebook.com/weareotv/posts/570396046500229:0,You're So Talented,Photo,,,12/19/2016 11:41:25 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570390126500821,https://www.facebook.com/weareotv/posts/570395879833579:0,You're So Talented,Photo,,,12/19/2016 11:41:24 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389956500838,https://www.facebook.com/weareotv/posts/570395883166912:0,You're So Talented,Photo,,,12/19/2016 11:41:15 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,YST
357045034501999_570389853167515,https://www.facebook.com/weareotv/posts/570396043166896:0,You're So Talented,Photo,,,12/19/2016 11:41:08 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389829834184,https://www.facebook.com/weareotv/posts/570396136500220:0,You're So Talented,Photo,,,12/19/2016 11:41:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389569834210,https://www.facebook.com/weareotv/posts/570395829833584:0,You're So Talented,Photo,,,12/19/2016 11:40:57 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389443167556,https://www.facebook.com/weareotv/posts/570396056500228:0,You're So Talented,Photo,,,12/19/2016 11:40:48 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389429834224,https://www.facebook.com/weareotv/posts/570396053166895:0,You're So Talented,Photo,,,12/19/2016 11:40:46 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389403167560,https://www.facebook.com/weareotv/posts/570396179833549:0,You're So Talented,Photo,,,12/19/2016 11:40:44 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389373167563,https://www.facebook.com/weareotv/posts/570395846500249:0,You're So Talented,Photo,,,12/19/2016 11:40:41 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389329834234,https://www.facebook.com/weareotv/posts/570395833166917:0,You're So Talented,Photo,,,12/19/2016 11:40:39 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389263167574,https://www.facebook.com/weareotv/posts/570395826500251:0,You're So Talented,Photo,,,12/19/2016 11:40:37 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389053167595,https://www.facebook.com/weareotv/posts/570396059833561:0,You're So Talented,Photo,,,12/19/2016 11:40:26 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570389036500930,https://www.facebook.com/weareotv/posts/570395803166920:0,You're So Talented,Photo,,,12/19/2016 11:40:24 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388986500935,https://www.facebook.com/weareotv/posts/570396169833550:0,You're So Talented,Photo,,,12/19/2016 11:40:22 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388956500938,https://www.facebook.com/weareotv/posts/570396166500217:0,You're So Talented,Photo,,,12/19/2016 11:40:20 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388863167614,https://www.facebook.com/weareotv/posts/570395876500246:0,You're So Talented,Photo,,,12/19/2016 11:40:11 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388836500950,https://www.facebook.com/weareotv/posts/570396159833551:0,You're So Talented,Photo,,,12/19/2016 11:40:10 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388769834290,https://www.facebook.com/weareotv/posts/570396036500230:0,You're So Talented,Photo,,,12/19/2016 11:40:06 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388726500961,https://www.facebook.com/weareotv/posts/570395863166914:0,You're So Talented,Photo,,,12/19/2016 11:40:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388603167640,https://www.facebook.com/weareotv/posts/570395853166915:0,You're So Talented,Photo,,,12/19/2016 11:39:58 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388416500992,https://www.facebook.com/weareotv/posts/570396173166883:0,You're So Talented,Photo,,,12/19/2016 11:39:52 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570388373167663,https://www.facebook.com/weareotv/posts/570396143166886:0,You're So Talented,Photo,,,12/19/2016 11:39:50 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,YST
357045034501999_570387939834373,https://www.facebook.com/weareotv/posts/570395849833582:0,You're So Talented,Photo,,,12/19/2016 11:39:37 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2.0,,,,YST
357045034501999_570387793167721,https://www.facebook.com/weareotv/posts/570395806500253:0,You're So Talented,Photo,,,12/19/2016 11:39:32 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387729834394,https://www.facebook.com/weareotv/posts/570395843166916:0,You're So Talented,Photo,,,12/19/2016 11:39:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387689834398,https://www.facebook.com/weareotv/posts/570395823166918:0,You're So Talented,Photo,,,12/19/2016 11:39:24 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387613167739,https://www.facebook.com/weareotv/posts/570396033166897:0,You're So Talented,Photo,,,12/19/2016 11:39:18 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387499834417,https://www.facebook.com/weareotv/posts/570396176500216:0,You're So Talented,Photo,,,12/19/2016 11:39:10 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387273167773,https://www.facebook.com/weareotv/posts/570396049833562:0,You're So Talented,Photo,,,12/19/2016 11:38:59 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387243167776,https://www.facebook.com/weareotv/posts/570396039833563:0,You're So Talented,Photo,,,12/19/2016 11:38:58 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387223167778,https://www.facebook.com/weareotv/posts/570396146500219:0,You're So Talented,Photo,,,12/19/2016 11:38:57 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387136501120,https://www.facebook.com/weareotv/posts/570395839833583:0,You're So Talented,Photo,,,12/19/2016 11:38:53 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,YST
357045034501999_570387109834456,https://www.facebook.com/weareotv/posts/570396156500218:0,You're So Talented,Photo,,,12/19/2016 11:38:51 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387056501128,https://www.facebook.com/weareotv/posts/570395836500250:0,You're So Talented,Photo,,,12/19/2016 11:38:48 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387029834464,https://www.facebook.com/weareotv/posts/570395819833585:0,You're So Talented,Photo,,,12/19/2016 11:38:46 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570387016501132,https://www.facebook.com/weareotv/posts/570395866500247:0,You're So Talented,Photo,,,12/19/2016 11:38:44 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
357045034501999_570386893167811,https://www.facebook.com/weareotv/posts/570396183166882:0,You're So Talented,Photo,,,12/19/2016 11:38:38 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,YST
