Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
357045034501999_625712827635217,https://www.facebook.com/weareotv/posts/625712827635217,"All photos from Open TV Presents: 195 Lewis Chicago Preview ft. Nappy Nina &amp; YCA are live! All photos taken by Alexus McLane.

Check out  195 Lewis, amfm, Young Chicago Authors, Kaycee Ortiz, and Nappy Nina: https://soundcloud.com/nappy_nina !",Photo,,,04/18/2017 02:10:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,
357045034501999_625707034302463,https://www.facebook.com/weareotv/posts/625708804302286:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:49:17 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625707030969130,https://www.facebook.com/weareotv/posts/625708837635616:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:49:17 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,None
357045034501999_625707040969129,https://www.facebook.com/weareotv/posts/625708797635620:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:49:17 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625706807635819,https://www.facebook.com/weareotv/posts/625708800968953:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:48:17 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625706774302489,https://www.facebook.com/weareotv/posts/625708820968951:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:48:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,None
357045034501999_625706700969163,https://www.facebook.com/weareotv/posts/625708747635625:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:48:04 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625706157635884,https://www.facebook.com/weareotv/posts/625708850968948:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:46:48 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625706067635893,https://www.facebook.com/weareotv/posts/625708734302293:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:46:37 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,None
357045034501999_625705774302589,https://www.facebook.com/weareotv/posts/625708757635624:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:46:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625705627635937,https://www.facebook.com/weareotv/posts/625708780968955:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:45:49 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
357045034501999_625705577635942,https://www.facebook.com/weareotv/posts/625708777635622:0,"195 Lewis Premiere April 11, 2017",Photo,,,04/18/2017 01:45:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,None
