Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_773107469562418,https://www.facebook.com/weareotv/posts/773107469562418,"Thank you WDCB News's The Arts Section by Gary Zidek for this story on OTV, #theTTV, and Velvet Web Series, premiering Wednesday! 

&quot;I saw a need for a platform that specifically focused on people who were excluded from Hollywood, so thinking not just about representing black people, not just representing queer people, or not just representing Asian people, but all of those identities together&quot; - Dr. Aymar Jean Christian on the inspiration for Open Television.

RSVP for the Velvet premiere: OTV Presents: The Exquisite Corpse &amp; Velvet Premiere",Link,,,03/26/2018 01:37:10 PM, ,813,813,0,1257,1257,0,77,33,41,0,0,744,406,0,0,63,0,0,0,0,0,0,0,0,0,0,62,1.0,,75,1.0,,26,8.0,,,33,8.0,,,,,,,VT|VT|TEX|VT
357045034501999_773064016233430,https://www.facebook.com/weareotv/posts/773064016233430,"It's true- join us this #OTVWednesday at the Chicago Cultural Center for the premiere of the first 3 episodes of Velvet Web Series and the premiere of the #ExquisiteCorpseDIY ! 

Check out the facebook event for updates and the Eventbrite link to RSVP: OTV Presents: The Exquisite Corpse &amp; Velvet Premiere.",Photo,,,03/26/2018 11:00:09 AM, ,177,177,0,243,243,0,12,8,9,0,0,233,168,0,0,12,0,0,0,0,0,0,0,0,0,0,6,,,6,1.0,,8,,,,9,,,,,,,,VT|TEX|VT
357045034501999_771902419682923,https://www.facebook.com/weareotv/videos/771902419682923/,"Welcome to the &quot;The Exquisite Corpse,&quot; a DIY artists’ collective in Chicago comprised of five radically different personalities; from their disciplines to their appetites, their personal histories to their dishwashing habits. It's a colorful and eccentric shared space, where the drive for generating radical and loving work is only mitigated by the fact that humans live there, with all the realities that come with that like hygiene, personal space, sex, and, oh yeah, rent.

The Exquisite Corpse is created by Abby Pierce and Cassidy Slaughter-Mason. See the premiere March 28th: 
OTV Presents: The Exquisite Corpse &amp; Velvet Premiere",Video,,,03/23/2018 04:12:05 PM, ,757,757,0,947,947,0,83,70,89,1,1,696,555,0,0,49,62,62,0,0,393,420,0,0,0,36755,19,1.0,1.0,20,1.0,1.0,43,,37.0,,50,,39.0,,1,,1,,TEX|TEX|VT
357045034501999_771754396364392,https://www.facebook.com/weareotv/posts/771754396364392,"Thank you to all that made it out to see Brujos on Wednesday! You can watch all episodes of #BrujosTV right now here: http://www.weareo.tv/originals/brujos

Make sure you RSVP to our next #OTVWednesday where we will be showing the premieres of #ExquisiteCorpseDIY and Velvet Web Series. 

RSVP: https://www.eventbrite.com/e/otv-presents-the-exquisite-corpse-velvet-premiere-tickets-43488380918",Link,,,03/23/2018 08:05:57 AM, ,400,400,0,523,523,0,38,18,19,1,1,507,387,0,0,38,0,0,0,0,0,0,0,0,0,0,23,,,23,,,15,3.0,,,16,3.0,,,,1.0,,1.0,B|VT
357045034501999_770955873110911,https://www.facebook.com/weareotv/posts/770955873110911,"&quot;Brujos isn’t about people of color or queer people of color succeeding or finding love in the normative world. It’s about them taking that world down and living their lives effectively in the antimatter of white supremacy and heteropatriarchy.&quot; - Creator Ricardo Gamboa for Out Magazine. 

See the entire first season tonight FREE at the Chicago Cultural Center in Claudia Cassidy Theater. Please RSVP: http://bit.ly/2ICwa0d

#OTVWednesdays",Link,,,03/21/2018 10:42:20 AM, ,132,132,0,170,170,0,6,5,6,0,0,152,115,0,0,6,0,0,0,0,4,0,0,0,0,0,1,,,1,,,5,,,,6,,,,,,,,None
357045034501999_770521263154372,https://www.facebook.com/weareotv/posts/770521263154372,"Tomorrow from 6-8pm join us for the first Chicago screening of the ENTIRE first season of Brujos, a series created by Ricardo Gamboa and co-directed by Reshmi Hazra Rustebakke that follows four gay Latino grad students who are also witches. 

As always, attendance is free, please RSVP: http://bit.ly/2ICwa0d",Link,,,03/20/2018 11:47:26 AM, ,293,293,0,375,375,0,17,13,17,0,0,347,272,0,0,14,0,0,0,0,0,0,0,0,0,0,6,,,6,,,13,,,,17,,,,,,,,B
357045034501999_770071926532639,https://www.facebook.com/weareotv/posts/770071926532639,"So many #OTVCommunity series at this dope event tomorrow ! Tickets are $10: http://bit.ly/2ppsGFn

With the launch of Showtime’s The Chi and HBO’s upcoming Brown Girls, Chicago is emerging as a hotbed of new, exciting and racially diverse content. This collection of new Chicago-based web series shows an eclectic and fun array of stories about LGBTQ individuals, women, and people of color: Bea Cordelia Sullivan-Knoff and Daniel Kyri Madison's heartfelt the T and Zak Payne endearing Kissing Walls both examine love and relationships in the LGBTQ community; while Wendy Jo Carlton’s Easy Abby follows the comic exploits of a Chicago lesbian; Velvet Web Series tells the story of two very different black women in all black office, and Addison Heimann’s Kappa Force is the rollicking story of five diverse superhero sorority ladies investigating the murder of their youngest member.",Link,,,03/19/2018 11:17:57 AM, ,305,305,0,398,398,0,22,13,22,0,0,370,284,0,0,21,0,0,0,0,0,0,0,0,0,0,11,,,11,,,13,,,,22,,,,,,,,BG|TT|VT
357045034501999_768809216658910,https://www.facebook.com/weareotv/posts/768809216658910,"Now presenting: YOGMA! All episodes are available to watch at weareo.tv/originals/yogma

Yogma tells the story of a hopeful, young yoga instructor who dreams of being a bright star in a beautiful culture and finds out that her rise to the top and the world she's fighting to be a part of... aren't exactly what she thought they'd be.

Created by Karla Huffman.

#womenshistorymonth",Link,,,03/16/2018 02:00:00 PM, ,259,259,0,322,322,0,14,8,10,1,1,300,241,0,0,13,0,0,0,0,0,0,0,0,0,0,6,,1.0,6,,1.0,5,4.0,,,6,4.0,,,,1.0,,1.0,YMA|YMA
357045034501999_768752666664565,https://www.facebook.com/weareotv/videos/768752666664565/,"YOGMA is now LIVE on weareo.tv! Watch the entire season here: 
https://vimeo.com/album/5048675/video/260143645

Yogma tells the story of a hopeful, young yoga instructor who dreams of being a bright star in a beautiful culture and finds out that her rise to the top and the world she's fighting to be a part of... aren't exactly what she thought they'd be. 

Created by Karla Huffman.

Video by Vasilios Papapitsios.",Video,,,03/16/2018 10:46:35 AM, ,366,366,0,464,464,0,20,16,20,0,0,418,334,0,0,16,13,13,0,0,108,130,0,0,0,40169,5,1.0,1.0,6,2.0,1.0,7,2.0,9.0,,7,3.0,10.0,,,,,,YMA|YMA
357045034501999_768035036736328,https://www.facebook.com/weareotv/videos/768035036736328/,"#BSAYF by Chicago-based artist Roy Kinsey premieres on Billboard! Kinsey tells the magazine: https://www.billboard.com/articles/news/pride/8244842/roy-kinsey-interview

&quot;I wanted to visually show a story from dark to light. So from this point of conflict to redemption. So we did that with colors, I chose colors to focus on in every scene, but I always wanted it to be that I was this soothsayer or this prophet that could see it all. So that’s where this ancestral realm kind of comes from. I [also] wanted to bring some light and humor to this betrayal that can be very dark and devastating experience. Plus I wanted to tap into myself and sort of this inner knowing of like “you know and you decided to ignore these red flags that were popping up because you were so desperate to have ‘a friend.’&quot;

It's like Maya Angelou says: when somebody tells you who they are, believe them. But also in the video when she goes through the healing process, because she does heal, that’s her tapping into the divine feminine energy that we all have inside of ourselves.&quot;

BSAYF will be featured in OTV's upcoming pilot &quot;Hair Story.&quot; Catch a sneak peek at the The Art Institute of Chicago March 30. Details here: http://www.artic.edu/event/gallery-talk-and-screening-artists-connect-open-tv

// TRACK //

Apple: http://itunes.apple.com/us/album/bsayf-single/id1300413327
Spotify: http://open.spotify.com/album/0nmgUXeVxX5XADy88wphwT
Soundcloud: http://soundcloud.com/futurehood/roy-kinsey-bsayf

Performance and Lyrics by Roy Kinsey
Produced by Esquire
Additional vocals by Keeshana Kelly
Released by Futurehood / http://futurehood.net 

// ALBUM //

&quot;blackie&quot; by Roy Kinsey

Apple: http://itunes.apple.com/us/album/blackie-a-story-by-roy-kinsey/1345722860
Spotify: http://open.spotify.com/album/6LHnWjEbgHhnLNs3PcVVqV
Soundcloud: http://soundcloud.com/roykinsey/sets/blackie

Released by Futurehood / http://futurehood.net

// CAST //

Star / Saya Naomi
Guide/Intuition / Roy Kinsey
Friends / Erik Lamar Wallace II &amp; Jeff Lewis

// CREW //

A Futurehood Production, in association with Under the Spell Productions

Director / aCeb00mbaP
Director of Photography / Moll Jean
Producer / Aymar Jean Christian
Co-Producers / Erik Lamar Wallace &amp; aCeb00mbaP
Editor / Olivia Laird
Production Coordinator / Chelsea Peterson-Salahuddin
Production Assistant / DH Yang

// SPECIAL THANKS //

Shot on location at:

Outerspace
Disco Chicago

Funded in part by the Propeller Fund, a project of Threewalls and the The Andy Warhol Foundation for the Visual Arts",Video,,,03/15/2018 11:00:00 AM, ,2118,2118,0,3684,3684,0,224,182,288,1,1,1020,657,0,0,62,60,63,0,0,706,860,0,0,0,252393,85,17.0,12.0,110,27.0,20.0,139,1.0,76.0,,197,2.0,89.0,,,1.0,,1.0,None
357045034501999_768267986713033,https://www.facebook.com/weareotv/posts/768267986713033,"Seeds Series is now LIVE on weareo.tv! 

Centered around the friendship of four college-aged girls, Seeds is a bold and dynamic narrative that explores the conversations between them through a hilariously authentic lens. Created by Deja Harrell and C.J. Thomas.",Link,,,03/15/2018 08:58:14 AM, ,333,333,0,535,535,0,19,7,7,1,1,139,50,0,0,9,0,0,0,0,0,0,0,0,0,0,10,5.0,1.0,11,5.0,1.0,1,6.0,,,1,6.0,,,,1.0,,1.0,SDS|SDS
357045034501999_767898663416632,https://www.facebook.com/weareotv/posts/767898663416632,"We're kicking off #OTVwednesdays with the premieres of these two hilarious shows, both created by black women. 

#Seedsseries is a comedic, socially conscious web series from Deja Harrell, following the misadventures of four young black women.

#Yogma follows a hopeful, young yoga instructor who dreams of being a bright star in a beautiful culture finds out that her rise to the top, and the world shes fighting to be a part of... aren't exactly what she thought they'd be. Series created by Karla Huffman. (Gypsy Yoga)

It all goes down tonight at 6pm!",Link,,,03/14/2018 02:21:08 PM, ,206,206,0,291,291,0,12,9,10,0,0,264,193,0,0,12,0,0,0,0,0,0,0,0,0,0,5,,,5,,,9,,,,10,,,,,,,,YMA
357045034501999_767787650094400,https://www.facebook.com/weareotv/posts/767787650094400:0,#OTVTonight at the Museum of Contemporary Art 03/06/18,Photo,,,03/14/2018 09:21:39 AM, ,166,166,0,215,215,0,20,19,35,0,0,177,146,0,0,15,0,0,0,0,0,0,0,0,0,0,2,,,2,,,6,,,17.0,7,,,28.0,,,,,None
357045034501999_767784930094672,https://www.facebook.com/weareotv/posts/767784930094672,"#BSAYF, the music video featured in our upcoming pilot &quot;Hair Story,&quot; just dropped on Billboard! It's the first single off Roy Kinsey's album &quot;blackie.&quot; 

&quot;I wanted to give voice to me being black and feminine, and a lot of people probably wouldn’t but that’s who I am, that’s how I felt and that’s how I grew up. That’s who &quot;Blackie&quot; is. Just from the times growing up being online seeing “no blacks, no fats, no femmes,” and I’m like damn I’m all of those.  And just noticing that black femmes have saved us. They have given us a soul and given birth to so many of us. So my grandmother’s voice is on there, Jenifer Lewis’s voice is on there, James Baldwin, who to me is black and feminine, is on there.&quot; - ROY KINSEY 

BSAYF stars Saya Naomi and Mister Wallace as a spin-off to #NupitaObama. It was produced by our founder Aymar Jean Christian, who created and directed the &quot;Hair Story&quot; pilot with an amazing team of writer-performers. Catch a preview at the The Art Institute of Chicago March 30 12-1PM and the free premiere at the Chicago Cultural Center in April!",Link,,,03/14/2018 09:13:57 AM, ,383,383,0,609,609,0,70,55,77,0,0,543,337,0,0,66,0,0,0,0,0,0,0,0,0,0,17,1.0,,17,1.0,,36,28.0,,,48,29.0,,,,,,,None
357045034501999_766809930192172,https://www.facebook.com/weareotv/posts/766809930192172,"What do students think about during yoga class? Enjoy this teaser from YOGMA and catch the series premiere, this Wednesday 3/14 from 6-8pm alongside Seeds Series at the Chicago Cultural Center. 

Don't forget to RSVP on Eventbrite for free entry, link in event page: OTV Presents: SEEDS &amp; Yogma Premiere.

Sign up for the #OTVprogram to stay up to date with all of our premieres and events: weareo.tv/program",SharedVideo,,,03/12/2018 09:56:16 AM, ,313,313,0,402,402,0,16,12,20,0,0,369,286,0,0,15,0,0,0,0,106,113,0,0,0,41120,5,,,5,,,12,,,,20,,,,,,,,YMA|SDS|SDS|YMA
357045034501999_766421113564387,https://www.facebook.com/weareotv/posts/766421113564387,"Thank you #ShadowAndAct for shouting out Seeds Series (premiering 3/14) &amp; Velvet Web Series (3/28)! 

To find all our premieres, check out our events: http://facebook.com/weareotv/events",Link,,,03/11/2018 02:17:41 PM, ,327,327,0,486,486,0,33,25,38,0,0,460,302,0,0,31,0,0,0,0,0,0,0,0,0,0,10,,1.0,11,,1.0,20,11.0,,,27,11.0,,,,,,,SDS|VT
357045034501999_765071427032689,https://www.facebook.com/weareotv/videos/765071427032689/,"Enjoy the official trailer for Velvet Web Series. Catch the premiere Wednesday, March 28th as a part of #OTVWednesdays: OTV Presents: The Exquisite Corpse &amp; Velvet Premiere.

Happy #InternationalWomensDay! This cycle we have a whole host of bomb women filmmakers. VELVET is based on the rreal-lifefriendship between two of the shows co-creators, Allie Dunn and Tyla Landry, who met in 2016 as co-workers at a minority-owned financial firm in Chicago. 

When Demetra, a competitive professional, is forced to reevaluate her social life, she strikes up a friendship with Cymone, her seemingly much cooler coworker. As their worlds collide to form a brand new #squad, these five young Chicagoans begin to reevaluate their own identities as well as their relationships to each other. By weaving together public and private experiences, VELVET comedically explores the joys, vulnerabilities, and everything in-betweens of making new friends in your mid-twenties.",Video,,,03/08/2018 01:15:14 PM, ,451,451,0,664,664,0,64,59,71,0,0,407,269,0,0,17,23,28,0,0,125,154,0,0,0,47102,12,2.0,,14,2.0,,18,,44.0,,22,,49.0,,,,,,VT|TEX|VT|VT|VT
357045034501999_764977867042045,https://www.facebook.com/weareotv/posts/764977867042045,"Thank you Brown Girl Magazine for recognizing #GeetasGuide! We will have NEW episodes coming in April! 

“I want to see more imperfect brown women....It’s about talking about the things that are dark in our communities,” Puja Mohindra explained. “It’s about finding beauty in the messiness of life.” Geeta’s Guide serves as one of the first steps toward realistic South Asian female representation, and it’s a worthy entry.”",Link,,,03/08/2018 07:57:51 AM, ,237,237,0,333,333,0,15,7,8,1,1,287,197,0,0,15,0,0,0,0,0,0,0,0,0,0,9,,1.0,9,,1.0,5,2.0,,,6,2.0,,,1,,1,,None
357045034501999_764580597081772,https://www.facebook.com/weareotv/posts/764580597081772,"Thank you to everyone who came out last night! Your generous spirit and open hearts are so appreciated by the artists and the OTV team. The kick-off exceeded our hopes and dreams. 

Thank you to the Museum of Contemporary Art Chicago for hosting us, the Black Arts Initiative at Northwestern University &amp; PeopleWho.Care for sponsoring, Mainstream Media, LLC, Humboldt House, ACRE TV, and Free Write Arts &amp; Literacy for partnering with us. Special thanks to Eli Micky for designing the set and Chris Walker for his assistance. 

You can follow our upcoming events here: http://facebook.com/weareotv/events or by assigning up for our cute little newsletter at http://www.weareo.tv. 

Special thanks to our artists Karan Sunil (Code-Switched), Deja Harrell (Seeds Series) and Karla Huffman (YOGMA) for their talent and generosity! 

Photo credit: Vasilios Papapitsios",Photo,,,03/07/2018 10:51:23 AM, ,966,966,0,1409,1409,0,126,73,103,0,0,738,429,0,0,84,0,0,0,0,0,0,0,0,0,0,91,3.0,8.0,100,3.0,9.0,62,,,13.0,85,,,18.0,,,,,SDS|YMA
