Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Project ID
357045034501999_798318547041310,https://www.facebook.com/weareotv/posts/798318547041310,"They're only $343 away from $15K ! Help them make it to their goal, just 3 short days left to support this revolutionary project. 

Kickstarter: http://kck.st/2HYqZaW

#TheTTV #transformationtuesday #webseries",SharedVideo,,,05/22/2018 12:18:19 PM, ,194,194,0,219,219,0,33,27,40,0,0,205,184,0,0,33,0,0,0,0,133,140,0,0,0,70782,7,,,7,,,24,7.0,,,33,7.0,,,,,,,,,None
357045034501999_797830927090072,https://www.facebook.com/weareotv/posts/797830927090072,"Get the full body YOGMA experience tonight with a Vinyasa class and #yogmatv screening all led by Yogma creator and star Karla Huffman! 

This is a donation based class, all donations benefit I Grow Chicago! Don't forget to RSVP, we'll see you there.",Link,,,05/21/2018 12:01:59 PM, ,92,92,0,119,119,0,1,1,2,0,0,102,78,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,2,,,,,,,,,,YMA|YMA
357045034501999_796490777224087,https://www.facebook.com/weareotv/posts/796490777224087,"Join us on Monday for a 60-minute (Bring Your Own Mat) Vinyasa experience for all lead by Karla Huffman, creator of Gypsy Yoga and independent web series YOGMA. The class will be followed by a short tea reception (provided by Davids Tea) before attendees view the pilot season of Karla's &quot;Yogma&quot; tv series alongside show director, creative partner, and fiance, Barry Demetrius. Demetrius will also be taking photos during the yoga class.

*ALL DONATIONS BENEFIT I Grow Chicago*

FB event: Gypsy Yoga Presents: Vinyasa flow and Then a Show",Link,,,05/19/2018 10:24:00 AM, ,122,122,0,140,140,0,0,0,0,0,0,119,103,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,YMA
357045034501999_796477213892110,https://www.facebook.com/weareotv/posts/796477213892110,"Q: What would you say to queer artists who feel discouraged about their potential in this industry?

&quot;Don’t wait for permission to tell your story. There are gatekeepers in the media who will devalue our stories. That doesn’t mean you can’t tell it yourself. I think that if we have a sort of grassroots television revolution, the gatekeepers will see the need for a shift in representation. &quot; the T - Web Series co-creator Bea Cordelia Sullivan-Knoff

There are just 7 days left to support #thettv on Kickstarter! Join the revolution: http://kck.st/2HYqZaW

#femalefilmmakerfriday",Status,,,05/18/2018 03:15:00 PM, ,171,171,0,200,200,0,6,3,3,1,1,175,153,0,0,5,0,0,0,0,0,0,0,0,0,0,3,,,3,,,2,1.0,,,2,1.0,,,1,,,1,,,SH|TT
357045034501999_796467893893042,https://www.facebook.com/weareotv/posts/796467893893042,"“We rarely get to see women, like black women, in college or post-college and just having them deal with just life,” [Director C.J.] Thomas said. “I just knew that it would not only be something that kind of helped me deal with my own issue of getting older, but also just knowing that it would be something I know so many other black girls would love&quot; -Chicago Tribune

#femalefilmmakerfriday

Watch Season 1 of Seeds Series now: http://www.weareo.tv/originals/seeds",Link,,,05/18/2018 01:28:42 PM, ,1787,1787,0,2680,2680,0,108,66,104,1,1,761,350,0,0,46,0,0,0,0,0,0,0,0,0,0,56,8.0,5.0,62,8.0,5.0,44,26.0,,,73,31.0,,,1,,,1,,,SDS
357045034501999_795991497274015,https://www.facebook.com/weareotv/posts/795991497274015,"#tbt to the premieres of these two amazing shows about breaking up and moving on, Geeta's Guide To Moving On and Quare Life Web Series! Photos by Jackie Elizabeth.

In case you missed it, catch up with us and enjoy #Geetasguide and #quarelife now: 
http://www.weareo.tv/originals/geetas-guide-to-moving-on
http://www.weareo.tv/presents//quare-life",Photo,,,05/17/2018 10:33:31 AM, ,65,65,0,75,75,0,8,4,5,0,0,63,57,0,0,8,0,0,0,0,0,0,0,0,0,0,4,,,4,,,4,,,1.0,4,,,1.0,,,,,,,GGMO|QL
357045034501999_795988643940967,https://www.facebook.com/weareotv/posts/795988643940967:0,OTV Presents: Geeta's Guide to Moving On &amp; Quare Life Premiere,Photo,,,05/17/2018 10:30:15 AM, ,238,238,0,292,292,0,53,47,67,0,0,243,203,0,0,14,0,0,0,0,0,0,0,0,0,0,8,1.0,1.0,10,1.0,1.0,5,,,43.0,7,,,60.0,,,,,,,GGMO|QL
357045034501999_795611160645382,https://www.facebook.com/weareotv/posts/795611160645382,"Support #TeamT this #webserieswednesday and support these angels on Kickstarter! They are exactly 66% of the way to their goal, be a part of the revolution.

Support: http://kck.st/2HYqZaW

The series premieres this June for pride month on OTV. 
Former lovers/best friends Jo &amp; Carter, a trans woman &amp; queer Black man, search for love, sex, &amp; kinship in their native Chicago.

#TheTTV",SharedVideo,,,05/16/2018 01:34:56 PM, ,191,191,0,217,217,0,22,20,25,0,0,204,180,0,0,22,0,0,0,0,60,61,0,0,0,70782,6,,,6,,,18,4.0,,,21,4.0,,,,,,,,,None
357045034501999_795175357355629,https://www.facebook.com/weareotv/posts/795175357355629,"All photos from OTV Presents: The Exquisite Corpse &amp; Velvet Web Series Premiere are now available! Photos by Jackie Elizabeth

Watch #TheExquisiteCorpsediy : http://www.weareo.tv/presents/theexquisitecorpse

Watch #Velvetwebseries : http://www.weareo.tv/originals/velvet",Photo,,,05/15/2018 10:18:46 AM, ,59,59,0,69,69,0,7,3,26,0,0,58,53,0,0,7,0,0,0,0,0,0,0,0,0,0,4,,,4,,,3,,,1.0,25,,,1.0,,,,,,,TEX|VT
357045034501999_795173274022504,https://www.facebook.com/weareotv/posts/795173274022504:0,OTV Presents: The Exquisite Corpse and VELVET Premieres,Photo,,,05/15/2018 10:14:31 AM, ,173,173,0,228,228,0,60,58,103,0,0,212,162,0,0,23,0,0,0,0,0,0,0,0,0,0,4,,,11,,,4,,,57.0,14,,,89.0,,,,,,,TEX|VT
357045034501999_794679427405222,https://www.facebook.com/weareotv/videos/794679427405222/,"Our #mcm goes out to Vincent Rodriguez III of Crazy Ex-Girlfriend with a reminder that it's not enough to just be &quot;aware&quot; of Asian-Americans. 

#AsianPacficAmericanHeritageMonth

You Should Know This By Now is directed by Reena Dutt, produced by Archana M Jain &amp; Fawzia Mirza, and written by Fawzia Mirza and Reena Dutt with some improv from the cast.",Video,,,05/14/2018 10:25:24 AM, ,232,232,0,283,283,0,13,8,10,0,0,239,193,0,0,12,7,7,0,0,50,51,0,0,0,33790,6,1.0,,6,1.0,,4,,4.0,,4,,6.0,,,,,,,,YSK
357045034501999_794342007438964,https://www.facebook.com/weareotv/posts/794342007438964,"Happy #MothersDay from some of our OTV moms!

Pictured here are Neetu Lalmalani as Neelam in Geeta's Guide To Moving On creator and star, Puja Mohindra ’s real-life mother, Lily Mojekwu Weglarz as Carla or Patricia's mom, in #BrownGirlsTV, Anne Marie Hammond, artist Rashayla Marie Brown ’s real life mother in Reality is Not Good Enough, and Arisbel as La Maestra from Brujos!

Meet all the moms right now on weareo.tv.

#weareotv",Photo,,,05/13/2018 03:23:29 PM, ,513,513,0,755,755,0,33,24,35,0,0,265,180,0,0,8,0,0,0,0,0,0,0,0,0,0,13,,,14,1.0,,17,1.0,,8.0,24,1.0,,10.0,,,,,,,GGMO|RNGE|GE|B
357045034501999_793264117546753,https://www.facebook.com/weareotv/videos/793264117546753/,"A little Friday funny for you in honor of #AsianPacificAmericanHeritageMonth, brought to by Parvesh Cheena and the &quot;You Should Know This By Now&quot; PSA series. 

The series is directed by Reena Dutt, produced by Archana M Jain &amp; Fawzia Mirza, and written by Fawzia Mirza and Reena Dutt with some improv from the cast.",Video,,,05/11/2018 11:09:21 AM, ,229,229,0,295,295,0,12,3,5,0,0,262,204,0,0,9,6,7,0,0,59,64,0,0,0,42473,11,,,12,,,3,,2.0,,3,,2.0,,,,,,,,None
