Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,
357045034501999_637354763137690,https://www.facebook.com/weareotv/videos/637354763137690/,Q&amp;A with Kate Royal and Hope,Video,,,05/14/2017 02:25:06 PM, ,850,806,0,1160,1093,0,13,11,24,0,0,570,380,0,0,7,2,4,0,0,55,71,0,0,0,1280619,4,1.0,4,,1.0,3,9.0,7,12.0,None
357045034501999_637332026473297,https://www.facebook.com/weareotv/posts/637332026473297,"Doors open in 15 minutes! 

Don't forget, we're also screening Kissing Walls by Zak Payne !

#InRealLife #KissingWalls",Link,,,05/14/2017 12:45:03 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_636398189900014,https://www.facebook.com/weareotv/posts/636398189900014,We've added Kissing Walls to the screening on Sunday ! Join us from 3-5pm at the Chicago Cultural Center.,Link,,,05/12/2017 10:57:18 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,,,,,,,None
357045034501999_635947723278394,https://www.facebook.com/weareotv/posts/635947723278394,"Check out the trailer for #InRealLife by Kate Royal. Watch the full first season with us this Sunday, 3-5pm at the Chicago Cultural Center!

In Real Life by Kate Royal - Open TV Premiere",Link,,,05/11/2017 09:09:50 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,IRL|OTV
357045034501999_635198326686667,https://www.facebook.com/weareotv/posts/635198326686667,"Watch the trailer for #GeetasGuide now! 

Geeta Gidwani is an all-American girl hopelessly in love with her Indian-American Prince Charming until one day, he dumps her--after 10 years of dating.  She's totally heartbroken, moves in with her Indian parents, and learns to move on with the help of her family and her best friend. 

We will be screening the entire first season on the 24th ! Geeta's Guide to Moving On &amp; Starving Artists - Open TV Premiere",Link,,,05/09/2017 06:54:19 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,,,,,,,GGMO|SA|OTV
357045034501999_635187290021104,https://www.facebook.com/weareotv/posts/635187290021104,"Want to learn more about  Kate Royal? She'll be in the hot seat during the Q&amp;A after the screening! 

See you on Sunday for In Real Life by Kate Royal - Open TV Premiere. 

#InRealLife #IRL",Link,,,05/09/2017 06:12:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,IRL|OTV
357045034501999_635162230023610,https://www.facebook.com/weareotv/posts/635162230023610,OTV - Open Television,Photo,,,05/09/2017 04:38:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,OTV
357045034501999_635081920031641,https://www.facebook.com/weareotv/posts/635081920031641,"If you've never seen Brandon perform, you're missing out. 

Tickets for the 2nd Annual Open TV Friendraiser are on sale now! https://www.eventbrite.com/e/the-2nd-annual-open-tv-friendraiser-tickets-34335123278",Link,,,05/09/2017 12:03:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,,,1,,,,,,,OTV
357045034501999_635055210034312,https://www.facebook.com/weareotv/posts/635055210034312,"Signing is honestly an art in itself. Performance Interpreter Amber Galloway is so dope! 

We love our ASL interpreters and are trying hard to make our content more accessible every day. If you have ideas on ways to make our content and events more accessible please message us!",SharedVideo,,,05/09/2017 10:41:16 AM, ,525,321,0,874,600,0,29,27,52,0,0,617,334,0,0,22,0,0,0,0,156,160,0,0,0,419710,8,,8,,,,27.0,,52.0,None
357045034501999_634998133373353,https://www.facebook.com/weareotv/posts/634998133373353,"Yes KC Ortiz!!!! 

“I didn’t listen to rap until I moved in with my mom at 17,” she says, citing Lil' Kim as a life-changing discovery. “I bought every CD she was on even if she was sneezing on an interlude. I was obsessed—my goal was to be the next Lil' Kim.” But becoming the freshest face of hip-hop inevitably took a backseat to reality. “It felt unobtainable,” Ortiz says. “I didn’t know where to start. We barely even had utilities, so rap got put on the back-burner for about 12 years.”",Link,,,05/09/2017 08:00:38 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2.0,,,,,,None
357045034501999_634688713404295,https://www.facebook.com/weareotv/posts/634688713404295,OTV - Open Television,Link,,,05/08/2017 04:35:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,,,,,,,OTV
357045034501999_634557150084118,https://www.facebook.com/weareotv/posts/634557150084118,"We are so excited to announce that we have added Starving Artists to the program! 

Starving Artists is a show about being young, gifted, and black in a world that praises straight, white, and wack. Chicago comedy duo Aasia LaShay Bullock and Dewayne Perkins go to extravagant lengths to reach their goals of international stardom and complete world domination.",Link,,,05/08/2017 09:16:36 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,,,,,,,SA|SA
357045034501999_634212433451923,https://www.facebook.com/weareotv/posts/634212433451923,"&quot;Folks often ask me why Open TV - beta isn't on YouTube. This article encapsulates the main reasons: it's too commercial/ad-driven and censors its programming. When a company makes money from algorithms, the value of any one video diminishes, so certain creators, especially those already marginalized, get screwed over in efforts to cater to sensitive corporate advertisers.&quot; -Aymar Jean Christian",Link,,,05/07/2017 04:44:51 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,2.0,,,,,,OTV
357045034501999_632639320275901,https://www.facebook.com/weareotv/posts/632639320275901,"Congratulations to the VAM fam and Jamila Woods for this coverage and the completion of an incredible work of art. Get your daily bread right now. 

Did you know Jamila is the inspiration behind Patricia in Brown Girls, best friend of creator Fatimah Asghar, and the music consultant on the show? Most of her music is now off of SoundCloud, but you can check out some other great songs from the soundtrack here: https://soundcloud.com/weareopentv/sets/brown-girls-soundtrack

Samantha Bailey, director of #BrownGirlsTV , also directed this music video!",Link,,,05/04/2017 10:36:12 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,35,5.0,1.0,,,,,BG
357045034501999_631274973745669,https://www.facebook.com/weareotv/posts/631274973745669,"Congratulations Brandon Markell Holmes ! Watch his short film, Inertia, now: http://www.weareopen.tv/open-tv-presents//inertia",Link,,,05/01/2017 01:00:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,IN
357045034501999_631168963756270,https://www.facebook.com/weareotv/posts/631168963756270,"The countdown begins for PrEP4Love LIVE presents: Black Tea this Saturday and we’re so excited to be partnering with the lovely folks at Project RSP, Off-Kilter. and Chicago Black Gay Men's Caucus- platforms and orgs dedicated to uplifting black queer excellence! 

Don’t forget to RSVP for hosted brunch!  https://prep4loveblacktea.eventbrite.com",Link,,,05/01/2017 07:57:16 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,,1.0,,,,,P4L
