Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Project ID
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,
357045034501999_387435954796240,https://www.facebook.com/weareotv/posts/387435954796240,"Are you ready for #NUPITAOBAMACREATESVOGUA starring Mister Wallace, Saya Naomi, and IamKiam Studios with a special appearance by Mister Junior? Check out the details here: 
http://www.weareopen.tv/open-tv-presents/2015/2/5/nupita-obama-creates-vogua",Link,,,05/26/2015 12:42:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,None
357045034501999_387435484796287,https://www.facebook.com/weareotv/posts/387435484796287,"ITVS - Independent Television Service is accepting digital  submissions! Apply through July 1st, 2015. 
http://beyondthebox.org/itvs-digital-open-call-now-accepting-submissions/",Link,,,05/25/2015 12:39:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_387433394796496,https://www.facebook.com/weareotv/posts/387433394796496,"Join us and the peeps behind You're So Talented this Sunday at the Smart Museum of Art. Led by collaborators Sam Bailey and Samantha Lee, this Life Study explores how artists develop and own their experiences through digital media. Presented by The Chicago Perch. Don't miss out! 

https://www.facebook.com/events/919268518124842/",Link,,,05/22/2015 12:45:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,YST
357045034501999_387433561463146,https://www.facebook.com/weareotv/posts/387433561463146,"So many #webseries festivals, so little time.
http://tvisual.org/web-series-festivals/",Link,,,05/21/2015 01:23:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_387539921452510,https://www.facebook.com/weareotv/posts/387539921452510,"&quot;Chapter Six&quot; of You're So Talented is here! Watch and share! 
#webseries #Chicago #indie https://vimeo.com/128319423",Link,,,05/20/2015 10:01:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.0,,YST
357045034501999_387432578129911,https://www.facebook.com/weareotv/posts/387432578129911,"The New York Times reports on SHADE: where it originated, what it is, and most importantly, how to throw it far and fast! 

#popculture #shade #media 
http://www.nytimes.com/2015/05/17/magazine/the-underground-art-of-the-insult.html?fb_ref=Default&amp;_r=0",Link,,,05/20/2015 08:15:36 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_387431208130048,https://www.facebook.com/weareotv/posts/387431208130048:0,"TUNE IN: Tomorrow we'll be debuting &quot;Chapter Six&quot; of You're So Talented. This is the second to last chapter in book one so make sure to follow along as the final scenes unfold. 

#makeyourown #chicago #webseries",Photo,,,05/19/2015 03:53:09 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,YST
357045034501999_384375391768963,https://www.facebook.com/weareotv/posts/384375391768963,"#FBF to last week's TEDxNortheasternU event where the founder of #OpenTV, Aymar Jean Christian spoke about &quot;Developing Platforms for Indie Arts and Artists.&quot;
#makeyourown #tedx #tedxnu15 
https://instagram.com/p/2eLZxSD0sp/",Link,,,05/15/2015 12:29:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,2.0,None
357045034501999_384370405102795,https://www.facebook.com/weareotv/posts/384370405102795,"#CHICAGO! We hope to see you at the You're So Talented, Season One Wrap Party on May 31st at The Whistler! 
http://whistlerchicago.com/events/youre-so-talented-wrap-party",Link,,,05/14/2015 01:12:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,YST
357045034501999_384371431769359,https://www.facebook.com/weareotv/posts/384371431769359,"Mark your calendars: The Chicago Home Theater Festival is in action till the end of May. Will we see you in Pilsen, Logan Square or Washington Park? Check the schedule today! 

http://www.chicagohtf.org/schedule/",Link,,,05/13/2015 01:23:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,,None
357045034501999_384370855102750,https://www.facebook.com/weareotv/posts/384370855102750,"Over the weekend, Aymar Jean Christian spoke at TEDxNortheasternU about the &quot;beautiful chaos&quot; that is #OpenTV. Catch the video in the next coming weeks! 
#makeyourown #indie #tedx 
http://www.tedxnorthwesternu.com/talks",Link,,,05/12/2015 02:16:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,None
357045034501999_384376721768830,https://www.facebook.com/weareotv/posts/384376721768830,"Tomorrow we're filming Honey Pot Performance's final Black Feminist Futures workshop at The University of Chicago. These workshops are truly an innovation in community-based storytelling and we couldn't be more excited to share this method with you! 
https://www.facebook.com/events/367090463498238/?feed_story_type=22&amp;pnref=story",Link,,,05/12/2015 12:42:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_384381081768394,https://www.facebook.com/weareotv/posts/384381081768394,"&quot;Austin: dreams, drums, whoremoans, libraries of the soul, Yo no tengo mas hermano mas que Sixto, and goats. #chtf14 #austin&quot; - Outakes from Chicago Home Theater Festival!",Photo,,,05/11/2015 06:03:54 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_384377021768800,https://www.facebook.com/weareotv/posts/384377021768800,We have the power to change this narrative!,Link,,,05/11/2015 05:33:22 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,,None
357045034501999_383287678544401,https://www.facebook.com/weareotv/posts/383287678544401,&quot;Chapter Five&quot; of You're So Talented is here! #Watch and #share via Vimeo: https://vimeo.com/126932556,Link,,,05/06/2015 10:05:50 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.0,,YST
357045034501999_381531085386727,https://www.facebook.com/weareotv/posts/381531085386727,"&quot;I have a different favorite medium every week! Whether it's fashion design, installation, performance, poetry, video, or photography, the medium is really secondary to the intent of the work.&quot; - Kiam Marcelo Junio of IamKiam Studios in the #OpenTVCommunity #Spotlight feature! Read about their inspiration, connection to #OpenTV and future artistic endeavors. 

http://www.weareopen.tv/open-tv-community//spotlight-on-kiam-marcelo-junio",Link,,,05/04/2015 12:05:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,,ANO
357045034501999_381530288720140,https://www.facebook.com/weareotv/posts/381530288720140,"Blackgirlinom has curated the perfect playlist to set the tone for your Sunday afternoon. Check out the soulful tunes here: 

https://soundcloud.com/blackgirlinom",Link,,,05/03/2015 11:01:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
357045034501999_381529878720181,https://www.facebook.com/weareotv/posts/381529878720181,"What does #BruceJenner's &quot;media circus&quot; mean for #trans people of color? 

http://fusion.net/story/125983/what-trans-people-of-color-fear-after-bruce-jenner-media-circus/?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=socialshare&amp;utm_content=sticky+nav

#transgender #equlaity #media #poc",Link,,,05/01/2015 12:58:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,None
