Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Project ID
357045034501999_741831686023330,https://www.facebook.com/weareotv/posts/741831686023330,"What does it look like to be a millennial and show up for your friends In Real Life? Check out this fresh take from Kate Royal starring Liza Summers, William Marquez, Theo Germaine (who also stars in Afternoon Snatch!), and Marybeth Kram. 

#opentvrewind",Link,,,01/22/2018 11:06:31 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,3.0,,,,,,,,IRL|AS
357045034501999_740167186189780,https://www.facebook.com/weareotv/posts/740167186189780,"#Queertheair dating wisdom from pop culture expert, writer, and comedian Ashley Ray: 

If he has a girlfriend, he will only facebook message you
If he has a wife, he will only be in your twitter DMs
If he's single but not that into you, you might get some texts

Watch the full segment for more pearls of wisdom and Coriama's hilarious reaction faces filmed in front of a live studio audience! QTA is a docu-web series centered around interviews with black queer folx and covers everything from gender identity and relationships to body image and self-care, hosted by sex educator and artist Coriama.

Watch all of Segment I with life coach and tarot adviser Keon Dillon here: https://youtu.be/nuSvEdmR5Dg",Link,,,01/19/2018 02:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,4.0,,,,,,,,None
357045034501999_740152666191232,https://www.facebook.com/weareotv/posts/740152666191232,"Today on #opentvrewind we're introducing #QueerTheAir, a docu-series hosted by sex-educator and artist Coriama! 

The series is centered around interviews with Black queer folx, and covers everything from gender identity and relationships, to body image and self care. The pilot features Keon Dillon, a professional life coach and tarot adviser. 

Stay tuned for more: future guests include Lakeesha Harris of Black Witch Chronicles, pop culture expert and freelance writer Ashley Ray, and illustrator Tesh Silver!

Shout out to the crew: Director of Photography Miasarah Lai, editor and producer Rachel Jones, photographer Stephanie Jensen, impact producer Nicole Holmes, editor Yarnome Hamilton, public relations Walter Santiago, and set designer Javier Chapa.",Link,,,01/19/2018 10:40:19 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,1.0,,,,,,,,PR
357045034501999_739650492908116,https://www.facebook.com/weareotv/posts/739650492908116,"&quot;In collaboration with Angie Perez, ambivert has shifted into a dialogue about exhibiting physical freedom while managing chronic illness.&quot;- alegria on their inspiration for &quot;ambivert.&quot; 
#opentvrewind 

Learn more about ester alegria, in this #opentvspotlight!

Get Open TV - beta news on our premieres and events first by signing up for our program: weareopen.tv/program",Link,,,01/18/2018 03:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,1.0,3.0,,,,,,,AV|OTV
357045034501999_739647739575058,https://www.facebook.com/weareotv/posts/739647739575058,"On #opentvrewind today we're slowing it down with &quot;ambivert.&quot; a haunting meditation in manic visuals and ethereal sounds written, directed, and edited by ester alegria (Aquarius Aquarius). ambivert. explores transmuting energy from chronic pain, anxiety, and lethargy into thrusting sexual freedom, joy anger, empathy for self and communities of color. 

Sign up for the #weareopentv newsletter and be the first to know about our upcoming events and premieres! weareopen.tv/program",Link,,,01/18/2018 12:00:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,AV
357045034501999_739253716281127,https://www.facebook.com/weareotv/posts/739253716281127,"&quot;Black Melodies&quot; by Lauren Vernea, is the real-life Chicago manifestation of her narrative series Art Is Charisma: A New Web Series!

The show is a dramedy about Charisma James, a singer-songwriter who has an unhealthy, all-consuming relationship with her music. Watch the whole first season on YouTube!

#opentvrewind",Link,,,01/17/2018 07:17:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,5.0,1.0,,,,,,,None
357045034501999_739316932941472,https://www.facebook.com/weareotv/posts/739316932941472,Our head of Marketing and creator of #2QIK (Two Queens in a Kitchen) is cooking up a new original web series and wants to werq with YOU! Are you that somebody?,Status,,,01/17/2018 07:12:56 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.0,,,,,,,,TQIK
357045034501999_739181719621660,https://www.facebook.com/weareotv/posts/739181719621660,"Filmmaker Lauren Vernea​ introduced us to Chicago musician Sam Trump​ with her docu-series Black Melodies. Want more? Check out his upcoming performances! 

Tonight: After Work at The Robey: Sam Trump
Tomorrow: Sam Trump at Some Like It Black (Winter Blue)

#opentvrewind

Stay up to date and sign up for the Open TV - beta​ program: weareopen.tv/program",Photo,,,01/17/2018 03:14:00 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,1.0,,,,,,,BM|OTV
357045034501999_739216352951530,https://www.facebook.com/weareotv/posts/739216352951530,We're so excited for this show! #SEEDSTV #OTVOriginals,SharedVideo,,,01/17/2018 12:58:40 PM, ,513,513,0,886,886,0,70,64,97,0,0,821,479,0,0,67,0,0,0,0,196,225,0,0,0,114665,11,2.0,,12,,3.0,64,,,97,,,None
357045034501999_739170672956098,https://www.facebook.com/weareotv/posts/739170672956098,"Today for #opentvrewind, dig into Black Melodies, a musical documentary series that explores the artistic journeys of Chicago’s young, black, and gifted musicians by Lauren Vernea!

The pilot episode is dedicated to exceptional vocalist and multi-instrumentalist Sam Trump talking about the challenges of self-management, his artistic process and more. 

Watch the full episode here: https://vimeo.com/238458996

Get all of our news first: weareopen.tv/program",SharedVideo,,,01/17/2018 10:37:34 AM, ,254,254,0,422,422,0,18,15,24,0,0,415,252,0,0,18,0,0,0,0,64,73,0,0,0,38249,7,,,7,,,15,3.0,,20,4.0,,BM
