Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Project ID
357045034501999_366218250251344,https://www.facebook.com/weareotv/posts/366218250251344,"Many good things have been born in #Chicago and leaving this magical city for pricey LA means O is downsizing: &quot;About 20 of the 200 full-time Chicago employees at Harpo are likely to be offered a job at her operations in California, but most of the production work will shift to freelance workers..&quot;
http://buff.ly/1wUcBsw via #business #network",Link,,,03/11/2015 10:43:09 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SH
357045034501999_366210443585458,https://www.facebook.com/weareotv/posts/366210443585458,The first chapter of You're So Talented is here! Watch it! SHARE it! Every other Wednesday enjoy a brief glimpse into Bea Freeman's life. This is only the beginning of Sam Bailey's beautifully crafted story! #YoureSoTalented #OpenTV #OpenTVOriginals #makeyourown #blackisbeautiful #naturalhair,Link,,,03/11/2015 09:59:59 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.0,1.0,YST
357045034501999_365900186949817,https://www.facebook.com/weareotv/posts/365900186949817,"Did you know: it’s the networks, studios and production companies who hire the show-runners, and this report found that minorities held only 5.5% of those jobs during the 2013-14 season, down from 7.8% two years earlier, an overall decline of nearly 30%.&quot;It's time for us to intervene. It's time for us to make space for underrepresented artists. Are you going to be the change that you want to see?",Link,,,03/10/2015 01:05:10 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,None
357045034501999_365647666975069,https://www.facebook.com/weareotv/posts/365647666975069,"Less than 72 hours till we #premiere our first original series. Yes, that's right! You're So Talented is invading a screen near you this Wednesday, March 11th @ noon. Are you ready for this epic story that follows an out of work #Chicago actor, as she navigates her twenties and its inevitable dramas? Keep up over at http://buff.ly/1wUeZ2u #webseries #youresotalented #indie",Link,,,03/09/2015 04:05:12 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,,YST
357045034501999_364583140414855,https://www.facebook.com/weareotv/posts/364583140414855,Did any of your friends make the list? Check out the top 20 #VAMInfluencers -- a list devoted to artists who are taking over in their communities and inspire us to become more affluent and dedicated to our work. Join the underground movement.,Link,,,03/06/2015 02:30:18 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_364573757082460,https://www.facebook.com/weareotv/posts/364573757082460:0,"What does #expressive television look like? Help us create a platform that will enable a diverse set of creatives to produce and distribute indie series for and by artists. Let's explore. 

http://buff.ly/1BJ5rrk",Photo,,,03/06/2015 01:44:06 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_364573213749181,https://www.facebook.com/weareotv/posts/364573213749181,"We're so excited to announce that a film festival has requested a few screeners of @YOU're So Talented. We can't wait for all of y'all to connect with this beautiful and heartfelt show next week. More to follow but till then make sure to set your clocks! #YoureSoTalented debuts on March 11th at noon! 

#webseries #indie #makeyourown #weareopentv",Status,,,03/06/2015 01:41:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,,YST
357045034501999_364193497120486,https://www.facebook.com/weareotv/posts/364193497120486,Are you following us on Instagram? Good things are happening over there. Check it out for yourself: http://buff.ly/18Frgg8 #community #arts,Link,,,03/05/2015 02:12:06 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,,None
357045034501999_364179253788577,https://www.facebook.com/weareotv/posts/364179253788577,"We're cooking up all the good stuff. Check out these BTS shots from the #Futurewomen pilot starring the incredibly talented women of Honey Pot Performance.  http://buff.ly/18kEoX2

#feminism #blackfeminism #webseries",Link,,,03/05/2015 12:49:15 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,FW
357045034501999_363888787150957,https://www.facebook.com/weareotv/posts/363888787150957:0,What does #sustainable television look like?,Photo,,,03/04/2015 03:51:03 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_363852943821208,https://www.facebook.com/weareotv/posts/363852943821208,"The countdown begins! 7 days to the #premiere of You're So Talented! Tell your sister, your cousin and that girl sitting next to you on the CTA. This is going to be EPIC. http://buff.ly/1Ckcisg",Link,,,03/04/2015 11:53:06 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.0,,YST
357045034501999_363694897170346,https://www.facebook.com/weareotv/posts/363694897170346,"&quot;Remember, no effort that we make to attain something beautiful is ever lost.” - Helen Keller",Status,,,03/04/2015 12:44:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,None
357045034501999_363606647179171,https://www.facebook.com/weareotv/posts/363606647179171,"“If you can design one thing, you can design everything.” - Massimo Vignelli",Status,,,03/03/2015 03:29:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_363587250514444,https://www.facebook.com/weareotv/posts/363587250514444,"Please proceed with caution: http://buff.ly/1wt6i9m 

#explore #design #webseries",Link,,,03/03/2015 01:29:04 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
357045034501999_363504570522712,https://www.facebook.com/weareotv/posts/363504570522712:0,"What does #artistic television look like? We have a few ideas but we want to hear from you! Share your thoughts and perspectives over at http://buff.ly/1DwZB8U 

Are you an independent artists, actor, or filmmaker? We're currently looking to collaborate with a diverse set of creatives. Let's dream together!",Photo,,,03/03/2015 09:58:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,None
357045034501999_363382180534951,https://www.facebook.com/weareotv/posts/363382180534951,"Here's some #BTS action from last week's shoot with three of the four women from @HoneyPotPerformance. Stay tuned for the pilot of #Futurewomen, an #OpenTV Original series. Are you ready?",Link,,,03/03/2015 12:44:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,FW
357045034501999_363236357216200,https://www.facebook.com/weareotv/posts/363236357216200,"Aymar Christian, the mastermind behind our lovely platform, is giving the first academic talk on OPEN TV - beta tomorrow at Illinois Institute of Technology. He will be discussing the possibilities for research creation in humanistic social sciences. Cheers to the future of open television! 

http://humansciences.iit.edu/events/2015/mar/03/tv-wide-open-developing-art-networked-distribution",Link,,,03/02/2015 01:22:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,OTV
357045034501999_363081753898327,https://www.facebook.com/weareotv/posts/363081753898327,"Did your cousin, best friend or that guy who makes your body rock on #Monday nights make the cut?  http://buff.ly/1LTglh2 via VAMMAG",Link,,,03/01/2015 11:44:04 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,None
