Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Project ID
357045034501999_406737716199397,https://www.facebook.com/weareotv/posts/406737716199397:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:30:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,1.0,,,,,None
357045034501999_406737709532731,https://www.facebook.com/weareotv/posts/406737709532731:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:30:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,None
357045034501999_406737712866064,https://www.facebook.com/weareotv/posts/406737712866064:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/24/2015 12:30:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,,,,,,,None
357045034501999_406736562866179,https://www.facebook.com/weareotv/posts/406736562866179,"OPENING TONIGHT:
Knock em' dead JRV MAJESTY Productions! YAY QUEER, ILL, &amp; OKAY!  https://www.facebook.com/events/920311198012717/",Link,,,07/24/2015 12:23:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_406203459586156,https://www.facebook.com/weareotv/posts/406203459586156,"Did you miss the premiere of #NUPITAOBAMA at Canvas on Sunday? 
Well, you missed a life giving three hours. You're last chance to meet Miss Nupita is this Sunday, July 26. Till then, take a peek at what you missed! 
https://vimeo.com/134346192",Link,,,07/23/2015 02:44:29 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,2.0,,,,,,None
357045034501999_405169586356210,https://www.facebook.com/weareotv/posts/405169586356210:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:31:11 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_405169433022892,https://www.facebook.com/weareotv/posts/405169433022892:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:30:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_405169283022907,https://www.facebook.com/weareotv/posts/405169283022907:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:29:20 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_405169116356257,https://www.facebook.com/weareotv/posts/405169116356257:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:28:19 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
357045034501999_405168879689614,https://www.facebook.com/weareotv/posts/405168879689614:0,#NUPITAOBAMA CREATES VOGUA: A SERIES OF SHADY EVENTS,Photo,,,07/19/2015 01:27:24 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,None
