Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_481101212096380,https://www.facebook.com/weareotv/posts/481101212096380,"Episodes 1-4 of BRONX CUNT TOUR are LIVE on #OpenTV!

Tune in as emerging artist NIC Kay takes solo performance #lilBLK on the road in the BRONX CUNT TOUR.

Stream Episodes 1-4 at: 
http://www.weareopen.tv/open-tv-originals/thebronxcunttour

Watch Episode 3 below:  
#weareopentv #OpenTVOriginals #OpenTVCommunity",Link,,,04/19/2016 07:51:42 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1.0,,,,,,,,,,BCT|BCT
357045034501999_480780065461828,https://www.facebook.com/weareotv/posts/480780065461828,"The #OpenTVCommunity is at it again! Subscribe to Post loudness, a podcast network for queer, women and people of color!",Link,,,04/18/2016 08:27:26 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,3.0,,,,,,,,,,None
357045034501999_479913682215133,https://www.facebook.com/weareotv/posts/479913682215133,"Stop what you are are doing and watch the Season Two finale of our marquee #OpenTVOriginals series You're So Talented! 

Tune in as Bea tries to pump herself up for the big awards ceremony.

#weareopentv #opentvcommunity #yst #youresotalented 
Our Names Are Sam",Link,,,04/15/2016 08:02:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,6.0,,,,,,,,,,YST
357045034501999_479381295601705,https://www.facebook.com/weareotv/posts/479381295601705,"We're dropping content left and right!  

Next up is #OnTheVerge, a short film that explores gender, race, class, and labor through an unconventional pas de deux in which two women - one black, one white - dance together in a gritty, post-industrial landscape. Watch the official trailer below! 

Starring Keesha Beckford &amp; #FullOutSeries Jess Duffy! 
Choreographed by Paige Cunningham Caldarella
Directed &amp; Edited by Jessica King 
Produced by Off Center Project &amp; King is a Fink Productions

Premiering exclusively in the #OpenTVCommunity April 27. 
#weareopentv #kingisafink",Link,,,04/13/2016 11:14:18 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,6.0,2.0,,,,,,,,,None
357045034501999_479035515636283,https://www.facebook.com/weareotv/posts/479035515636283,"BRONX CUNT TOUR is now LIVE on #OpenTV! 

Tune in as emerging artist NIC Kaytakes solo performance #lilBLK on the road in the BRONX CUNT TOUR.

Stream Episodes 1 + 2 at
 http://www.weareopen.tv/open-tv-originals/thebronxcunttour

Watch Episode 2 below. 
#weareopentv #OpenTVOriginals #OpenTVCommunity",Link,,,04/13/2016 09:26:31 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5.0,,,,,,,,,,BCT|BCT
357045034501999_479077655632069,https://www.facebook.com/weareotv/posts/479077655632069,"Don't forget to mark your calendars for this life giving experience this Thursday (4/14). Make sure to do those stretches before DJ Tess puts your body to WERK! The best of times are guaranteed.

Screening at 7pm. 
Dance Party from 8pm-11pm.  

#youresotalented #yst #opentvoriginals #weareopentv",Link,,,04/12/2016 11:55:11 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4.0,,,,,,,,,,None
357045034501999_479035375636297,https://www.facebook.com/weareotv/posts/479035375636297,"BRONX CUNT TOUR is now LIVE on #OpenTV! 

Tune in as emerging artist NIC Kay takes solo performance #lilBLK on the road in the BRONX CUNT TOUR.

Stream Episodes 1 + 2 at
 http://www.weareopen.tv/open-tv-originals/thebronxcunttour

Watch Episode 1 below. 
#weareopentv #OpenTVOriginals #OpenTVCommunity",Link,,,04/12/2016 09:14:55 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,15,9.0,,,,,,,,,,BCT|BCT
357045034501999_478758605663974,https://www.facebook.com/weareotv/posts/478758605663974,A great interview with Samantha Bailey about You're So Talented!,Link,,,04/11/2016 01:01:34 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.0,,,,,,,,,,YST
357045034501999_478758498997318,https://www.facebook.com/weareotv/posts/478758498997318,Thank you Deja L. Jones for interviewing #YoureSoTalented creator Sam Bailey about her show! &quot;When I decided to write this series I wanted to show a girl who didn’t have it all together and in no way had all the answers.&quot;,Link,,,04/11/2016 01:00:48 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,2.0,,,,,,,,,,None
357045034501999_478752448997923,https://www.facebook.com/weareotv/posts/478752448997923,"&quot;I think a lot about the many ways BLACK people can learn to fly/transcend. This is a musical, movement, spiritual + intellectual exercise for me. Sometimes when I’m practicing I record myself and share the videos online. I have developed an artistic practice to return daily to this exercise. I love my radical, black, queer, gender non-conforming existence. The world doesn't. I organize. I protest. I teach. I love. I listen. I create.&quot;  

Viewpoints by NIC Kay in the #OpenTVCommunity.  

&quot;Bronx Cunt Tour&quot; drops 4/12 on weareopen.tv 
#opentvoriginals #weareopentv #lilblk",Link,,,04/11/2016 12:29:14 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8.0,,,,,,,,,,None
357045034501999_477214492485052,https://www.facebook.com/weareotv/posts/477214492485052,"Surprise!

#OnTheVerge is almost here!",SharedVideo,,,04/06/2016 01:32:25 PM, ,65,50,0,108,79,0,5,2,2,0,0,56,26,0,0,4,0,0,0,0,13,17,0,0,0,15346,,3.0,,,3.0,,,2.0,,,2.0,,,,None
357045034501999_477181685821666,https://www.facebook.com/weareotv/posts/477181685821666,"WHAT ARE YOUR PLANS FOR THE REST OF You're So Talented?

&quot;Right now the goal is to get the current season out and then we'll see where we go from there. It is a new year and I know we have a lot of options. I'd be lying if I said didn't think the show had legs. I think it could easily transfer to a 30 minute format. But, for now, I'm just focusing on getting out a final product that makes me happy.&quot; 

Sam Bailey in the #OpenTVCommunity. Read more and join us at OPEN TV ORIGINALS: You're So Talented Season 2 Finale next Thursday! Tons of excited updates from Our Names Are Sam! 
&lt;3 &lt;3 &lt;3 

#youresotalented #yst #weareopentv #opentvorigianls",Link,,,04/06/2016 10:34:45 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25.0,,,,,,,,,,YST|OTV|YST
357045034501999_476590189214149,https://www.facebook.com/weareotv/posts/476590189214149,"The official trailer for NIC Kay's highly anticipated series the &quot;Bronx Cunt Tour&quot; is finally here! Join us this Saturday for an exclusive peek at the first two episodes at ONE IN THEIR SELF: Open TV x Woman Made Gallery x The Art Institute of Chicago (plus tons of other great programming brought to you by The Art Institute of Chicago and Woman Made Gallery. 

RSVP here: weareopen.tv/oneintheirself 

#oneintheirself #lilBLK #weareopentv #opentvoriginals #opentvcommunity",SharedVideo,,,04/04/2016 09:54:31 AM, ,80,63,0,124,97,0,7,3,7,0,0,94,54,0,0,6,0,0,0,0,18,23,0,0,0,68073,,6.0,1.0,,8.0,1.0,,3.0,,,7.0,,,,OTV
357045034501999_476380719235096,https://www.facebook.com/weareotv/posts/476380719235096,"A huge thanks to StarTrek.com, the series' official hub, for posting and sharing #FullOutSeries! If you watched the entire first season then you caught the magnificent Nana Visitor who co-starred in   Star Trek: Deep Space Nine!! 
#OpenTVOriginals #weareopentv #trekkers #DS9 #kingisafink",Photo,,,04/03/2016 06:59:10 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,,,None
