Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Project ID
357045034501999_650896905116809,https://www.facebook.com/weareotv/posts/650896905116809,"We love when critics engage with our work: &quot;‘Geeta’s Guide To Moving On’ wins because of it’s light, frothy screenplay.&quot; Thanks The Digital Hash!

Episodes can be viewed here: http://www.weareopen.tv/open-tv-originals//geetas-guide-to-moving-on",Link,,,06/15/2017 07:43:16 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,1.0,,,,,,,,,,None
357045034501999_650453308494502,https://www.facebook.com/weareotv/posts/650453308494502,TV ASIA Channel covered the premiere of #GeetaGuide! Check out their story and interview with Puja Mohindra and Aymar Jean Christian at the Chicago Cultural Center explaining why Puja made this comedy about heartbreak for everyone and the Indian community specifically.,Link,,,06/14/2017 07:59:04 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,,,None
357045034501999_650149555191544,https://www.facebook.com/weareotv/posts/650149555191544:0,"Here we go behbehs! #2QIK LIVE and the preview of season two to follow at 8:30

@Soho House Chicago",Photo,,,06/13/2017 04:38:15 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,,,,,,,,,,,None
357045034501999_650104048529428,https://www.facebook.com/weareotv/posts/650104048529428,"Support trans-led media and make a tax-deductible donation today! 
#americaintransition #webelong",Link,,,06/13/2017 01:26:28 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,,,None
357045034501999_649997365206763,https://www.facebook.com/weareotv/posts/649997365206763,"India West interviewed Puja Mohindra about why she made #GeetasGuide!

“The story is universal, it’s just told through a cultural specific lens,” Mohindra told India-West about the show, which was also in the final consideration for the Sundance YouTube Lab. “It didn’t occur to me until I went through [a break-up] how difficult it is for our parents to understand…most of the parents of the first-generation kids did not have the opportunity to fall in love and they often did not have a break-up.”",Link,,,06/13/2017 08:56:13 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,,,,,,,,,,,None
357045034501999_649996475206852,https://www.facebook.com/weareotv/posts/649996475206852,"Thank you India West for featuring Geeta's Guide To Moving On! 

“The story is universal, it’s just told through a cultural specific lens,” Puja Mohindra told India-West about the show, which was also in the final consideration for the Sundance YouTube Lab. “Literally every human on the planet goes through a loss; how universal loss is…it could be a partner, a parent, a pet, a job; nobody of any race, background or age is not prone to love at some point in life.”

Describing the series as a “comedy with a heart,” Mohindra noted that the more she shared this one girl’s journey to move on, the more she learnt about the strength of the human spirit.&quot;

#GeetasGuide",Link,,,06/13/2017 08:53:51 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1.0,,,,,,,,,,GGMO
357045034501999_648444898695343,https://www.facebook.com/weareotv/videos/648444898695343/,"Post-screening talkback from The Petty Biennial Film Screening with Suné Woods, Derrick Woods Morrow, Rashayla Marie Brown, Ester Alegria and Kai Green, moderated by Aymar Jean Christian and Anna Martine Whitehead.",Video,,,06/09/2017 07:00:28 PM, ,460,411,0,636,562,0,17,13,31,0,0,244,153,0,0,9,0,0,0,0,61,76,0,0,0,1593634,6,1.0,,6,1.0,,8,,7.0,8,,15.0,,,None
357045034501999_648401742032992,https://www.facebook.com/weareotv/posts/648401742032992,See y'all tonight !,Link,,,06/09/2017 04:05:06 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,None
357045034501999_648034552069711,https://www.facebook.com/weareotv/posts/648034552069711,"Open TV (beta) founder Aymar Jean Christian and artists Fawz Mirza and Puja Mohindra spoke about diversifying new media at #SXSW17!

&quot;What we need now are distributors who can aggregate audiences and not only direct funding to production but just make marketing a little easier for creators. It's great to have all these stories, but I think people need to see them for [diversity and representation] conversations to proliferate,&quot; Christian said. 

&quot;The way that [people of color] move and create in the world is a way of creating empathy, conversation and connection,&quot; Mirza said.",Link,,,06/09/2017 10:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,2.0,,,,,,,,,,OTV
357045034501999_647938148746018,https://www.facebook.com/weareotv/posts/647938148746018,"Northwestern University News offers the research perspective on the Brown Girls x HBO deal. 

“We were essentially ‘Brown Girls’ first network, assisting in production and exhibition with funding and marketing,” Aymar Jean Christian said. “The point of Open TV is to slowly build an audience for intersectional and queer programming to see how that kind of distribution might develop, since networks like HBO don't consistently develop diverse programming.”",Link,,,06/08/2017 02:10:48 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,42,7.0,,,,,,,,,,BG|BG|OTV
357045034501999_647067768833056,https://www.facebook.com/weareotv/posts/647067768833056,"WE GOT THE GREEN LIGHT. 6 days after launching, #SerialDreamer is 101% funded through 3Arts!

We're confirmed to get the money but we have NOT crossed the finish line: we have a stretch goal of $10,000! https://3arts.org/projects/serial-dreamer

$5,000 gets us a great scene introducing the characters at their co-op meeting. If we can double that, we will have enough to produce a dream sequence for each character! These dreams show the inner life of these characters, almost like mini-music videos. The funds go toward licensing music and producing the sequences.",Link,,,06/06/2017 01:51:47 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,2.0,,,,,,,,,,None
357045034501999_646941278845705,https://www.facebook.com/weareotv/posts/646941278845705,"All photos from the 2nd Annual Open TV Friendraiser are now live! 

All photos by Jackie Elizabeth",Photo,,,06/06/2017 07:49:58 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,,,OTV
357045034501999_646935655512934,https://www.facebook.com/weareotv/posts/646935655512934:0,2nd Annual Open TV Friendraiser,Photo,,,06/06/2017 07:47:07 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,1.0,,,,,,,,,OTV
357045034501999_646626655543834,https://www.facebook.com/weareotv/posts/646626655543834,"#BrownGirlsTV has sold to HBO! This is the first series developed by Open TV (beta) to sell to a major network. 

Co-creator Fatimah Asghar tells Brittany Julious: &quot;The web series is a small, small slice into the potential of the show. I want [the TV show] to be very Chicago-focused and queer folks of color–focused. And to have women of color and queer people of color be the protagonists and the antagonists in their own story. That's very important to me. I want to grow the show and make it more complicated and more nuanced. Tonally, we're trying to carry over the balance between comedy and those serious, weighted moments. The people of Brown Girls are not caricatures.&quot;

Co-creator Samantha Bailey says: &quot;Music was also part of our pitch. Chicago has an amazing music scene and we were lucky to include a bunch of artists in our series. All but one were Chicago-based and all of them were women of color. That's another way to change the gaze and the lens in how the series is seen. How does the music and the way it feels and the vibe of that city come from a woman's voice? We were lucky [HBO] was down for that.&quot;

All Open TV artists retain their intellectual property, so Open TV does not make any money off this sale or the distribution of the show. We will keep you posted on whether the web series will stay freely available on our site.",Link,,,06/05/2017 01:57:08 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,68,36.0,2.0,,,,,,,,,OTV|BG|OTV|OTV
357045034501999_646139005592599,https://www.facebook.com/weareotv/videos/646139005592599/,,Video,,,06/04/2017 01:31:40 PM, ,428,423,0,748,739,0,10,7,16,1,1,479,267,0,0,7,2,3,0,0,55,64,0,0,0,249643,2,,1.0,2,,1.0,4,,5.0,6,,7.0,1,1,
357045034501999_646042315602268,https://www.facebook.com/weareotv/posts/646042315602268,"The &quot;infinitely charming and hugely popular series&quot; Brown Girls leads Vimeo's Pride Month programming! &quot;There’s such a fabulous and diverse tapestry of LGBTQ+ creators and experiences to explore on Vimeo,&quot; writes staffer Anton De Ionno.",Link,,,06/04/2017 07:59:29 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,13,3.0,,,,,,,,,,BG
357045034501999_645707592302407,https://www.facebook.com/weareotv/posts/645707592302407,"Thank youuu to all of our wonderful donors that have contributed so far and gotten us over 2/3rds of the way to our goal so quickly! 

We have 29 days to go, help make #SerialDreamer a reality and support queer, intersectional TV. 

Donate: https://3arts.org/projects/serial-dreamer/

Serial Dreamer is an ambitious experiment in queer TV development: a series of pilots about intersectional characters. In the full series, each episode focuses on one of the co-op residents and we follow them in their everyday lives and jump into their dreams. Inspired as I was by dreaming while running to music, I imagine these worlds as music videos embedded in a serial narrative, but that may vary based on each artist’s vision and resources. Each episode will ideally have the same cinematographer but different directors and creative teams. Characters may show up in other series, or not. The relations in the show will be as organic as relationships in the real world.",Link,,,06/03/2017 11:18:28 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,9,1.0,,,,,,,,,,None
357045034501999_645377199002113,https://www.facebook.com/weareotv/posts/645377199002113,"We're launching an ambitious new experiment: #SerialDreamer! Created by founder Aymar Jean Christian in collaboration with a diverse group of Chicago artists from the #OpenTVCommunity, Serial Dreamer follows residents of a Chicago co-op in their everyday lives and their dreams.

Dr. Christian writes: 

Chicago’s artists inspired me to dream. A few years ago when I was new to Chicago, I would run down Lakeshore Drive, listening to R&amp;B and dreaming of televisual narratives. I was serially dreaming, casting as characters the artists who would eventually become my collaborators on Open TV (beta), a research project and web platform that I created to develop artistic, intersectional TV. With this campaign, I am asking you to support Serial Dreamer: Co-Op, a collaborative comedy pilot for a new series of stories about residents in a Chicago co-op as they dream about other worlds. The full series will follow a different character in each episode through their everyday life and their dreams. Each character and story line is created by a writer who has pitched or produced a project during Open TV's first two cycles or participated in the Open TV Writers Group during our residency at the Chicago Cultural Center. This project is an experiment in using queer TV development to mobilize our community and exponentially increase the number of artistic, intersectional TV stories coming out of Chicago. Serial Dreamer: Co-Op represents my dream for Open TV: ever-growing, ever-evolving, community-driven, and continually generating value from telling diverse stories.",Link,,,06/02/2017 02:54:20 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,1.0,,,,,,,,,,OTV|OTV|OTV
