Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,Project ID
357045034501999_752443858295446,https://www.facebook.com/weareotv/posts/752443858295446,"Happy #blackhistorymonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity. 

Before Brown Girls, director Samantha Bailey created and stars in You're So Talented , a series that follows Bea, (played by Bailey) an out of work Chicago artist, as she navigates her twenties and its inevitable dramas. YST has two full seasons, you can watch all of them below! 

Hear about our releases and events first by signing up for the #opentvprogram: weareopen.tv/program",Link,,,02/09/2018 03:11:06 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,10.0,,,,,,,,,,BG|YST
357045034501999_752394808300351,https://www.facebook.com/weareotv/posts/752394808300351,"Happy #BlackHistoryMonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity.

Samantha Bailey is a writer and director from Chicago, currently living in LA. She created and starred in You're So Talented, a Gotham Independent Film Awards nominated web series. She also co-created and directed the break-out hit and Emmy nominated web series Brown Girls which has been picked up by HBO! You can watch both shows here: 

https://vimeo.com/channels/browngirls
https://vimeo.com/channels/youresotalented

#femalefilmmakerfriday",Photo,,,02/09/2018 12:22:48 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9.0,,,,,,,,,,YST|BG
357045034501999_751958248344007,https://www.facebook.com/weareotv/posts/751958248344007,"&quot;Cunt is my black queer gender non-conforming femininity oozing from my pores. It is me stacking claim to my independence. I also practice a type of vogue femme which is called soft + cunt. A slower sensual style that is powerfully seductive + playful.&quot; - from the #opentvspotlight on NIC Kay

Watch the #bronxcunttour chronicling their tour of #lilBLK their one-person show. 

#BlackHistoryMonth",Link,,,02/08/2018 03:05:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6.0,,,,,,,,,,None
357045034501999_751955055010993,https://www.facebook.com/weareotv/posts/751955055010993,"Happy #BlackHistoryMonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity. 

NIC Kay is an artist and mover hailing from the Bronx, who occupies many liminal spaces. 

&quot;I made lil BLK to talk to my younger self aka NICKY. I wanted her (she likes feminine pronouns) to know that I loved her and that she was finally gonna get the audience and applause she worked so hard for. The little black girl who felt too small to be as great as her wildest dreams.&quot; 

Watch Nic Kay's #bronxcunttour, which chronicles their first #lilblk tour here: http://www.weareopen.tv/open-tv-originals/thebronxcunttour

Hear about our releases and events first by signing up for the #opentvprogram: weareopen.tv/program",Link,,,02/08/2018 01:11:23 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5.0,,,,,,,,,,None
357045034501999_751469938392838,https://www.facebook.com/weareotv/posts/751469938392838,"Happy #BlackHistoryMonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity. 

Artist, Rashayla Marie Brown, on the inspiration for her anti-reality series &quot;Reality is not Good Enough&quot;:

&quot;I was very intrigued by the idea of making a reality inspired show that didn't really make a lot of sense or disrupted our typical notions of how that show should go, especially one featuring an all-Black female cast. I became more interested over time in trying to create a sense of connectedness to the people behind the camera, perhaps even more than the ones in front of it.&quot;

Hear news of our premieres and events first by signing up for the #opentvprogram - weareopen.tv/program",Link,,,02/07/2018 01:01:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,,,None
357045034501999_751450978394734,https://www.facebook.com/weareotv/posts/751450978394734,"Happy #BlackHistoryMonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity. 

Rashayla Marie Brown is a performance artist, director, and filmmaker whose in-progress anti-reality series, &quot;Reality is Not Good Enough&quot; appeared in the #OpenTVPresents collection. 

Beyond a parody, this is an investigation of the concept of the gaze and the trouble with being an independent filmmaker. The cast are allowed to critique the editing process.

Hear about our upcoming premieres and events first, by signing up for the #opentvprogram weareopen.tv/program",Link,,,02/07/2018 10:00:00 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3.0,,,,,,,,,,None
357045034501999_751074991765666,https://www.facebook.com/weareotv/posts/751074991765666,"See Queen Saya Naomi's acting debut here in #NupitaObama. Her character &quot;Gia&quot; is directly based off of Saya herself and was the inspiration for #SerialDreamer, our forthcoming spring pilot. 

Nupita Obama is the alter ego of Curtis (Mister Wallace), cast out of her relationship with Reyes (Kiam Marcelo Junio), because their new lover, Gia (Saya Naomi), is moving in and Curtis can’t afford to move out. Curtis creates Nupita to diffuse the tension.

Saya Naomi performed a version of her drag persona, but also did makeup and styling. &quot;Vogua&quot; demonstrates how much &quot;production value&quot; queer artists of color can bring to television.

#blackhistorymonth",Link,,,02/06/2018 01:00:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,12.0,,,,,,,,,,ANO
357045034501999_751067718433060,https://www.facebook.com/weareotv/videos/751067718433060/,"Happy #BlackHistoryMonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity. 

Meet original Drag Artist, Queen Saya Naomi. You can see the &quot;Bad Girl of Halsted&quot; performing in New York and Chicago and alongside Mister Wallace and Kiam Marcelo Junio in #opentvoriginal, Nupita Obama. 

&quot;Gia&quot; who Saya Naomi plays in Nupita Obama, is directly based off of Saya in real life! Serial Dreamer, our newest pilot set to be released this spring, is a continuation of Gia's story. 

In this video, see how Queen Saya Naomi was born, and how she got her start in drag and acting.",Video,,,02/06/2018 11:07:05 AM, ,1531,1531,0,2683,2683,0,104,87,163,0,0,811,412,0,0,37,30,30,0,0,305,359,0,0,0,525630,4,46.0,2.0,4,56.0,2.0,19,77.0,,20,143.0,,,,ANO|IRL
357045034501999_750697861803379,https://www.facebook.com/weareotv/posts/750697861803379,"&quot;Once you see something like yourself existing in the world it helps you create more of yourself in the world. That's why FUTUREHOOD exists. We want people like us to see examples of themselves not only surviving but thriving and creating beautiful art.&quot; 

- #opentvcommunity artist Erik Lamar Wallace II on representation their QPOC collective Futurehood. 

See Mister Wallace on screen this spring in our newest #opentvoriginal, #SerialDreamer.",Link,,,02/05/2018 05:13:01 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,8.0,,,,,,,,,,None
357045034501999_750686211804544,https://www.facebook.com/weareotv/videos/750686211804544/,"Happy #blackhistorymonth, this week we are shining a spotlight on some of our brilliant black artists in the #opentvcommunity.

Erik Lamar Wallace II or Mister Wallace’s first Open TV project was our very first as well, Nupita Obama Creates Vogua. The series was written and directed by Open TV founder Aymar Jean Christian. Erik returns to the screen this spring in #SerialDreamer, Open TV's newest pilot.

Erik is a rapper, DJ, and performance artist queering hip-hop in ways we've never seen, all while co-running a queer indie label, Futurehood spotlighting a diverse group of artists. Get to know them:",Video,,,02/05/2018 03:00:00 PM, ,3314,3314,0,5765,5765,0,308,269,450,0,0,941,433,0,0,65,50,50,0,0,870,1012,0,0,0,489705,12,107.0,11.0,13,132.0,19.0,84,237.0,1.0,86,363.0,1.0,,,OTV|NOCV|OTV
