Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Project ID
357045034501999_557338734472627,https://www.facebook.com/weareotv/posts/557338734472627:0,Two Queens in a Kitchen,Photo,,,11/20/2016 08:29:45 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,TQIK
357045034501999_556419111231256,https://www.facebook.com/weareotv/posts/556419111231256,"#OpenTVRewind - Been T/Here 

As co-founder of the Trans Lifeline, Nina gets personal about the journey for authenticity and connection took her from Mumbai to San Francisco.

#OpenTVRewind is a six-week feature focusing on six Open TV original webseries. Next week look forward to our coverage of #2QIK.",Link,,,11/18/2016 03:11:54 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1.0,,,,,,,,BTH|OTV
357045034501999_556406401232527,https://www.facebook.com/weareotv/posts/556406401232527,"Latina Magazine covers Brujos and Ricardo Gamboa drops knowledge!

&quot;The show is not just written to center queer and trans people of color or non-normative folks; it’s also meant to affirm them. The supernatural aspect doesn’t just refer to them being witches or the psychic phenomenon. Supernatural also refers to the queer, women and people of color characters. It refers to their ability to live and understand themselves in a world they are marginalized in and on the receiving end of violence in. I hope it allows us to harness and embrace the power the struggle has given us and get people to start thinking more revolutionarily. I want this to be transformative.&quot;

There's still 3 days to support #BrujosTV! https://www.indiegogo.com/projects/brujos-a-queer-of-color-webseries-magic",Link,,,11/18/2016 02:11:58 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,8.0,,,,,,,,B
357045034501999_555960394610461,https://www.facebook.com/weareotv/posts/555960394610461,#TBT and S/O to Canvas  for hosting our first premier for #NupitaObama. We see y'all thriving in VICE. See you at #Subchroma on Saturday !,Link,,,11/17/2016 10:05:22 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,1.0,,,,,,,None
357045034501999_555931017946732,https://www.facebook.com/weareotv/posts/555931017946732,"#OPENTVREWIND - Been T/Here 

Experience Karari, a genderqueer latinx activist In search of accomplices, frenemies, and boy toys, learning how to best love others and herself. 

#OpenTVRewind is a six-week feature focusing on six Open TV original webseries.",Link,,,11/17/2016 08:20:25 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,,,,,,,,,BTH|OTV
357045034501999_555673147972519,https://www.facebook.com/weareotv/posts/555673147972519,"#OPENTVREWIND - #BeenThere
Queer love is the best love, isn't it? Meet architect, organizer, kinkster, and lover E Armea on Episode 3 of Been T/Here. 

P.S. E's boo, Cassie, shown in this video, is a founder of Project Fierce Chicago a grassroots group of youth service providers &amp; housing advocates working to address queer youth homelessness. If you're looking for a way to help out in these tough times and you missed their fundraiser Breakfast N Beds on the 13th, donating to #ProjectFierce is a great place to start.",Link,,,11/16/2016 01:15:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,BTH
357045034501999_555660831307084,https://www.facebook.com/weareotv/posts/555660831307084,"Okayplayer delves further into #BrownGirls with an interview with director Samantha Bailey! 

&quot;Intersectionality is a huge theme within Brown Girls. I see Brown Girls expanding the conversation by showing [the world] that we exist. Period. We are here and if you’re going to exclude us and pretty much confirm by omission that our experiences are not valid, then that’s fine because we’ll make our own. The entire series explores this beautifully complex intersectional friendship and allows them to be multi-layered humans with well thought-out backstories.&quot; -- Sam Bailey",Link,,,11/16/2016 12:12:59 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,2.0,,,,,,,,BG|BG
357045034501999_555606901312477,https://www.facebook.com/weareotv/posts/555606901312477,"#OPENTVREWIND - #BeenThere

Have you had the pleasure of meeting Mama Gloria? You would remember, she glows with warmth and love wherever she goes. Did you know the average life expectancy of a trans woman of color is 35? Mama is still slaying every 👏🏽 single 👏🏽day👏🏽 in her 70s. Learn more about her in episode two of Been T/here created by André Pérez Photography

#opentvoriginals #weareopentv",Link,,,11/16/2016 08:32:56 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,1.0,,,,,,,,BTH
357045034501999_555344594672041,https://www.facebook.com/weareotv/posts/555344594672041,"Nicole Morse, Open TV's 2015-16 exhibition manager, expands their essay on Zackary Drucker's #SouthernForPussy in this article exploring her work on Transparent! 

Read their original essay on our site here: http://www.weareopen.tv/open-tv-community//viewpoints-by-nicole-morse",Link,,,11/15/2016 01:29:42 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,1.0,1.0,,,,,,,None
357045034501999_555304641342703,https://www.facebook.com/weareotv/posts/555304641342703,"Our community is full of royalty. VAM produces consistently gorgeous and meaningful work. Dig into them. 

Have you seen Queen! at Smart Bar- Sundays resident Shea Couleé 's film Lipstick City yet? If you don't think drag is an art form, you haven't been paying attention. http://www.weareopen.tv/lipstickcity 

#OpenTVCommunity #OpenTVPresents",SharedVideo,,,11/15/2016 10:44:59 AM, ,120,24,0,209,37,0,23,14,26,0,0,191,107,0,0,20,0,0,0,0,12,13,0,0,0,160659,11,,1.0,11,,1.0,14,,,26,,,LC
357045034501999_555120141361153,https://www.facebook.com/weareotv/posts/555120141361153,"#OpenTVRewind - #BeenThere

Get hip to the Trans Oral History Project founded by Been T/Here's creator, Andre Perez.

A catalogue of trans narratives is so sorely needed to ensure that these pillars of the queer community are heard. Especially in 2016 when trans women of color are being killed at such an alarming rate. 

The Trans Oral History Project is a collaborative media initiative dedicated to collecting stories of transgender and gender non-conforming people and making them publicly available at low or no cost.",Link,,,11/15/2016 08:34:02 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,,,,,,,,,BTH
357045034501999_555013454705155,https://www.facebook.com/weareotv/posts/555013454705155,Catch Aymar Jean Christian bringing the truth and the melanin tomorrow night at Soho House Chicago on a film panel entitled &quot;Storytelling at the Intersection of Film and Technology in the Digital Age&quot; with Chaz Ebert  and other experts. This event runs from 6:30 - 8:00 pm and is a part of Soho House's Film Week.,Link,,,11/14/2016 02:59:06 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,,,,,,,,,None
357045034501999_554996924706808,https://www.facebook.com/weareotv/posts/554996924706808,Windy City Times profiles Postloudness from #2QIK star James T. Green: &quot;This is NPR quality. We're going to be here and you're going to take us very seriously.&quot;,Link,,,11/14/2016 01:34:23 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,,,,,,,,,None
357045034501999_554924734714027,https://www.facebook.com/weareotv/posts/554924734714027,"#BrownGirls in Jet Magazine! &quot;We want people to see people who look like them on screen and feel less alone in the world, especially now. It’s super important to say your story is important and it’s valid. You’re human and that’s valid. I really do believe representation matters in that way,&quot; director Samantha Bailey says of Fatimah Asghar series.",Link,,,11/14/2016 09:57:23 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8,2.0,,,,,,,,None
357045034501999_554892434717257,https://www.facebook.com/weareotv/posts/554892434717257,"#OpenTVRewind 

Week 1: Been T/Here.

Been T/Here is a webseries created by André Pérez Photography   documenting trans* people of color in Chicago on their journeys to find love, creativity and healing. Meet Crispin Torres in episode one. 
#OpenTvOriginals #OpenTVRewind #OpenTVCommunity",Link,,,11/14/2016 08:02:01 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6,12.0,,,,,,,,BTH|BTH
357045034501999_554695234736977,https://www.facebook.com/weareotv/posts/554695234736977:0,photo credit: Megan Lee Miller,Photo,,,11/13/2016 06:45:07 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,None
357045034501999_553811831491984,https://www.facebook.com/weareotv/posts/553811831491984:0,"Open TV Presents: Rewind is coming soon to a browser near you. #OpenTVRewind is a six week feature focusing on six unique webseries currently available on weareopen.tv.

Now, more than ever, the vision of Open TV is forefront in our minds. Our mission is to uplift and empower marginalized voices, give them a platform to tell their own stories in an effort to strengthen our community. Have a seat at the table on Monday for the first installment: www.weareopen.tv/rewind",Photo,,,11/11/2016 03:32:18 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,7.0,,,,,,,,OTV
357045034501999_552983431574824,https://www.facebook.com/weareotv/posts/552983431574824:0,"To the #OpenTVCommunity: We stand in solidarity with you. In the coming months, we will continue to release programs that center those who continue to be marginalized and provide space in Chicago and on our platforms to express love, frustration, hope, and strategies for change.

Keep up with the #OpenTVProgram as we revisit and uplift the stories that have brought us so much joy over the past year of sharing, learning and building. www.weareopen.tv/program",Photo,,,11/09/2016 11:50:39 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7,1.0,,,,,,,,None
357045034501999_552605108279323,https://www.facebook.com/weareotv/posts/552605108279323,Thank you VIBE for featuring #BrownGirls!,Link,,,11/08/2016 12:34:13 PM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,18,22.0,,,,,,,,None
357045034501999_552076221665545,https://www.facebook.com/weareotv/posts/552076221665545,"Word on the street is MCA Prime Time: Ascend sold out! Hope you got your tickets, the lineup is amazing and includes the incomparable Jamila Woods  who is also featured on the #BrownGirls Soundtrack. See her in the trailer here:",Link,,,11/07/2016 07:50:20 AM, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2.0,1.0,,,,,,,None
