"plays","downloads","loads","finishes","domain","path","unique_loads","mean_percent","mean_seconds","sum_seconds","total_seconds","unique_viewers"
0,0,2,0,weareopentv.tumblr.com,,0,0,0,0,0,0
0,0,34,0,weareotv.tumblr.com,,0,0,0,0,0,0
0,0,3,0,www-lezbelib-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,1,0,visionarytrek.com,,0,0,0,0,0,0
0,0,2,0,stecnsons.tk,,0,0,0,0,0,0
0,0,1,0,tv-avclub-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,3,0,shinyblackthings.tumblr.com,,0,0,0,0,0,0
0,0,3,0,trendingallday.com,,0,0,0,0,0,0
0,0,4,0,erinturney.com,,0,0,0,0,0,0
0,0,2,0,themarysue.com,,0,0,0,0,0,0
0,0,1,0,thejasminebrand.com,,0,0,0,0,0,0
0,0,1,0,sixtwentysevenblog.com,,0,0,0,0,0,0
0,0,6,0,themuse.jezebel.com,,0,0,0,0,0,0
0,0,2,0,skindeepmag.com,,0,0,0,0,0,0
0,0,1,0,sf-proxy.smartnews.com,,0,0,0,0,0,0
0,0,1,0,discovertaiji.com,,0,0,0,0,0,0
0,0,2,0,sodomyordeath.tumblr.com,,0,0,0,0,0,0
0,0,32,0,sonideni.com,,0,0,0,0,0,0
0,0,1,0,feministing.com,,0,0,0,0,0,0
0,0,1,0,soundslikebridgetraffic.tumblr.com,,0,0,0,0,0,0
0,0,15,0,www-billboard-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,2,0,urban75.net,,0,0,0,0,0,0
0,0,4,0,youresotalented.tumblr.com,,0,0,0,0,0,0
0,0,6,0,feedly.com,,0,0,0,0,0,0
0,0,16,0,thoughtcatalog.com,,0,0,0,0,0,0
0,0,5,0,scandalshack.com,,0,0,0,0,0,0
0,0,3,0,thisisdarkmatters.org,,0,0,0,0,0,0
0,0,2,0,curlyeye1.tumblr.com,,0,0,0,0,0,0
0,0,1,0,ressick.tumblr.com,,0,0,0,0,0,0
0,0,5,0,refinery29.uk,,0,0,0,0,0,0
0,0,5,0,cms.intomore.com,,0,0,0,0,0,0
0,0,2,0,becky-schultz-29ms.squarespace.com,,0,0,0,0,0,0
0,0,2,0,beautifulhabit.tumblr.com,,0,0,0,0,0,0
0,0,3,0,chicagoist.com,,0,0,0,0,0,0
0,0,7,0,gomag.com,,0,0,0,0,0,0
0,0,3,0,bcharts.net,,0,0,0,0,0,0
0,0,45,0,cassiuslife.com,,0,0,0,0,0,0
0,0,1,0,cassiuslife-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,2,0,gay-porn.co,,0,0,0,0,0,0
0,0,4,0,backstage.com,,0,0,0,0,0,0
0,0,3,0,bustle.com,,0,0,0,0,0,0
0,0,8,0,browngirlswebseries.tumblr.com,,0,0,0,0,0,0
0,0,41,0,advocate.com,,0,0,0,0,0,0
0,0,2,0,atrl.net,,0,0,0,0,0,0
0,0,30,0,bricartsmedia.org,,0,0,0,0,0,0
0,0,3,0,breegant.tumblr.com,,0,0,0,0,0,0
0,0,7,0,fastcompany.com,,0,0,0,0,0,0
0,0,2,0,borghive.org,,0,0,0,0,0,0
0,0,26,0,bluestockingsmag.com,,0,0,0,0,0,0
0,0,13,0,blogs.colum.edu,,0,0,0,0,0,0
0,0,3,0,blog.ajchristian.org,,0,0,0,0,0,0
0,0,1,0,blackwomensjournal.com,,0,0,0,0,0,0
0,0,8,0,editmedia.org,,0,0,0,0,0,0
0,0,1,0,blackfeministmanifesto.tumblr.com,,0,0,0,0,0,0
0,0,1,0,blackbalance.org,,0,0,0,0,0,0
0,0,19,0,bitchmedia.org,,0,0,0,0,0,0
0,0,25,0,deanecreative.com,,0,0,0,0,0,0
0,0,8,0,analyzidngs.ga,,0,0,0,0,0,0
0,0,2,0,beyondclassicallybeautiful.com,,0,0,0,0,0,0
0,0,1,0,currentarts.tumblr.com,,0,0,0,0,0,0
0,0,1,0,bequeernow.tumblr.com,,0,0,0,0,0,0
0,0,8,0,bennington.populiweb.com,,0,0,0,0,0,0
0,0,2,0,hdrthdrt.tumblr.com,,0,0,0,0,0,0
0,0,4,0,thedizh.com,,0,0,0,0,0,0
0,0,1,0,toddalquist.tumblr.com,,0,0,0,0,0,0
0,0,3,0,screenmag.com,,0,0,0,0,0,0
0,0,20,0,theforextradingcoachcourse.com,,0,0,0,0,0,0
0,0,8,0,fullspectrumfeatures.squarespace.com,,0,0,0,0,0,0
0,0,1,0,serialowa.pl,,0,0,0,0,0,0
0,0,3,0,seriesporelas.com.br,,0,0,0,0,0,0
0,0,1,0,embedresponsively.com,,0,0,0,0,0,0
0,0,1,0,aryka-randall-a4ox.squarespace.com,,0,0,0,0,0,0
0,0,2,0,tracking-board.com,,0,0,0,0,0,0
0,0,1,0,unicornbooty.com,,0,0,0,0,0,0
0,0,3,0,splinternews.com,,0,0,0,0,0,0
0,0,1,0,zuriali.com,,0,0,0,0,0,0
0,0,1,0,salsogroovy.co,,0,0,0,0,0,0
0,0,1,0,battyfornudity2.blogspot.com,,0,0,0,0,0,0
0,0,1,0,amp-scroll-in.cdn.ampproject.org,,0,0,0,0,0,0
0,0,6,0,amp-redbull-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,1,0,amp-fastcompany-com.cdn.ampproject.org,,0,0,0,0,0,0
0,0,1,0,anomenface.wordpress.com,,0,0,0,0,0,0
0,0,1,0,apa.nyu.edu,,0,0,0,0,0,0
0,0,1,0,abstonjade.squarespace.com,,0,0,0,0,0,0
0,0,13,0,101classic.com,,0,0,0,0,0,0
0,0,1,0,gaysun.tumblr.com,,0,0,0,0,0,0
0,0,1,0,winchester6890.tumblr.com,,0,0,0,0,0,0
0,0,1,0,vimyo.net,,0,0,0,0,0,0
0,0,10,0,77three.com,,0,0,0,0,0,0
0,0,29,0,3arts.org,,0,0,0,0,0,0
"
",,,,,,,,,,,
